SNP_name	Phenotype	Chr	Disease_Trait	Sample Size (Reported)	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_common	p-val_common	MAF_common	OR_combined	p-val_combined	MAF_combinded	OR_remainder	p-val_remainder	P_12	SKAT_p-val	Logit_no-covariates	Logit_conditional	Logit_nonconditional	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_common	A_cmb	A_rem
rs429608	pheno_362.2	6	Age-related macular degeneration	6,713 European ancestry cases, 48,402 European ancestry contols, 110 Southern Indian ancestry cases, 119 Southern Indian ancestry controls, 827 Japanese ancestry cases, 3,323 Japanese ancestry controls	4E-89	1.74	0.86	C2,SKIV2L,CFB	0.832987907195	0.00531964577689	0.153780155446	0.738559163211	0.0089483449057	0.0470437796547	0.904663855934	0.107964363782	0.238095238095	0.0114887963043	(0.83299079246313779, 0.012160110889236311)	(0.83725227121163159, 0.036537886032366067)	(0.79537380948068837, 0.002010706572750143)	exm-rs638383,exm-rs6939227	0.0463981696444,0.0463187293896	0.736068585426,0.737855159662	0.021849219526,0.0217796836699	[[18948, 6902, 631], [636, 197, 13]]	[[24033, 2377, 67], [786, 60, 0]]	[[21123, 4794, 564], [686, 147, 13]]
rs548234	pheno_695.42	6	Systemic lupus erythematosus	1,047 Chinese Han cases, 1,205 Chinese Han controls	5E-12	1.25	0.26	PRDM1,ATG5	1.22393668511	0.00223998159498	0.327377347062	3.11202281483	0.0139574028522	0.00195141645919	1.21710694192	0.00288495101441	0.00772200772201	-1	(1.2227564088235512, 0.0042751098531154099)	(1.223924696272555, 0.0042790945695547616)	(1.2271591275665727, 0.003793684192060354)	exm568967	0.00195141645919	3.11202281483	0.0264615543165	[[11269, 10951, 2703], [178, 191, 68]]	[[24835, 90, 1], [432, 5, 0]]	[[11314, 10907, 2702], [180, 189, 68]]
rs610604	pheno_696.4	6	Psoriasis	1,359 cases, 1,400 controls	9E-12	1.19	0.32	TNFAIP3	1.17498670869	0.0166936160132	0.322257738896	30.6520618557	0.00902804464684	5.05765729314e-05	1.17498670869	0.0166936160132	0.0	-1	(1.17336387953534, 0.033076455419136411)	(1.1710597626502426, 0.035359076131269318)	(1.1709750833405532, 0.035446569828275973)	exm581589	5.05765729314e-05	30.6520618557	0.0474984815062	[[11013, 10317, 2506], [164, 173, 53]]	[[23786, 2], [388, 1]]	[[11013, 10317, 2506], [164, 173, 53]]
rs2517532	pheno_244.4	6	Hypothyroidism	3,736 European ancestry cases, 35,546 European ancestry controls	1E-8	1.16	0.597	HCG22,HLA-C,HLA-B,LOC729792,MUC22,DHFRP2,HCP5,C6orf15	0.921930894974	0.00107422168784	0.440797442799	0.196230927441	0.00158354249116	0.0014141028091	0.924146584699	0.00145073359927	0.000453926463913	-1	(0.92256292728745648, 0.0022856740793958741)	(0.91065081877936827, 0.00056430731188367232)	(0.91093203702238479, 0.00058244435883109645)	exm529402	0.0014141028091	0.196230927441	0.00687465780509	[[7327, 11507, 4665], [1113, 1598, 605]]	[[20513, 69], [3030, 2]]	[[7362, 11472, 4665], [1114, 1597, 605]]
rs9271366	pheno_555.2	6	Ulcerative colitis	388 Korean ancestry cases, 739 Korean ancestry controls	1E-18	2.10	0.11	HLA-DRB1,HLA-DQA1	1.28850914616	0.00633342829928	0.147545123922	2.1268262987	0.0208465585473	0.00638305039073	1.24103457679	0.0188085213808	0.0733944954128	0.0136651771493	(1.2841568388078708, 0.011344256479588862)	(1.2699219455902211, 0.016590665953045466)	(1.2979327922807555, 0.0083550019216477069)	exm536439,exm2275871,exm536425	0.00641004071469,0.00639859904358,0.00644368922238	2.11442808353,2.12723214286,2.09974308683	0.0448436079257,0.0441233128393,0.0454892358332	[[15448, 5290, 492], [236, 92, 17]]	[[20962, 264], [336, 9]]	[[15670, 5068, 492], [244, 84, 17]]
rs9268853	pheno_555.2	6	Ulcerative colitis	6,687 European ancestry cases, 19,718 European ancestry controls	1E-55	1.40	0.66	HLA-DRA,HLA-DRB9,HLA-DRB1,HLA-DRB5,BTNL2,HLA-DQA1	0.666308786707	8.45487838075e-07	0.343141213284	0.500768344218	0.000213816546303	0.0605685822716	0.693136829505	1.25997907716e-05	0.0789473684211	0.00321303595744	(0.66943597145782774, 3.7958293569176856e-06)	(0.6889669603878088, 1.9616085623541491e-05)	(0.66981004332620186, 4.1218938419363986e-06)	exm-rs3806155,exm535447	0.0327802235015,0.0291543226501	0.513349812254,0.476742113705	0.0176387773595,0.0167119906101	[[9161, 9495, 2591], [194, 124, 28]]	[[18540, 2499, 52], [324, 20, 1]]	[[10443, 8241, 2563], [206, 113, 27]]
rs9268923	pheno_555.2	6	Ulcerative colitis	1,043 German cases, 1,703 German controls	4E-15	1.45	0.67	HLA-DRA,HLA-DRB9,HLA-DRB5	0.667297280014	9.24618261844e-07	0.342811953157	0.500768344218	0.000213816546303	0.0605685822716	0.694309757464	1.37653563931e-05	0.0789473684211	0.00321303595744	(0.67028749434119084, 4.0933878763544021e-06)	(0.68967798767961619, 2.0732532333042536e-05)	(0.67045151409181503, 4.3593026625699495e-06)	exm-rs3806155,exm535447	0.0327802235015,0.0291543226501	0.513349812254,0.476742113705	0.0176387773595,0.0167119906101	[[9166, 9494, 2583], [194, 124, 28]]	[[18540, 2499, 52], [324, 20, 1]]	[[10449, 8239, 2555], [206, 113, 27]]
rs9268877	pheno_555.2	6	Ulcerative colitis	1,167 cases,777 controls	6E-18	1.45	0.45	HLA-DRA,BTNL2,HLA-DRB9,HLA-DRB5	1.45544071583	5.43282394483e-07	0.407662280849	2.08419541652	0.0228645965229	0.00654476755954	1.43828594781	1.18798519689e-06	0.0157480314961	0.08983257951	(1.4475635822551971, 1.2314036922315098e-06)	(1.4667087497387461, 5.4320440524810234e-07)	(1.4615146238012784, 6.7258075091152484e-07)	exm535437,exm-rs3763315	0.00652767938468,0.00647690185391	2.08429441172,2.10784639957	0.0464332554116,0.045018049936	[[7570, 10105, 3570], [91, 164, 90]]	[[20921, 265, 1], [336, 9, 0]]	[[7686, 9989, 3570], [95, 160, 90]]
rs3129934	pheno_335	6	Multiple sclerosis	197 European ancestry cases, 234 European ancestry controls	7E-16	2.34	0.10	C6orf10	2.38715254688	7.55134680637e-21	0.16694712752	2.2381284221	0.00654950751092	0.00906888313087	2.3557221252	4.05445736655e-20	0.0185185185185	-1	(2.3913980442846832, 8.6138565502129669e-23)	(2.4552724362171028, 7.6888821471942354e-24)	(2.4090356054947355, 4.0361279904545247e-23)	exm-rs7775149	0.00906888313087	2.2381284221	0.0140474020595	[[15784, 6283, 618], [138, 131, 31]]	[[22283, 398, 6], [288, 12, 0]]	[[15845, 6222, 618], [141, 128, 31]]
rs9271366	pheno_335	6	Multiple sclerosis	1,618 European ancestry cases, 3,413 European ancestry controls	7E-184	2.78	0.15	HLA-DRB1,HLA-DQA1	2.68775785465	1.58669366175e-25	0.147545123922	2.37754508435	0.0277670669825	0.00419358111536	2.65129086357	2.09031240285e-24	0.0365853658537	-1	(2.6848409877340016, 1.8666405377482069e-28)	(2.7992138874096621, 5.7120480525847186e-30)	(2.7236200237420483, 5.5277253597514473e-29)	exm536451	0.00419358111536	2.37754508435	0.0463212275779	[[16537, 5642, 491], [136, 139, 25]]	[[22384, 189, 1], [294, 6, 0]]	[[16721, 5459, 490], [142, 133, 25]]
