,SNP,Lab_name,best_measure,best_P,best_OR_Beta,catalog_assoc_SNP,catalog_assoc_gene,CHR,MapInfo,gene,rsID,cases,eh_case,el_case,Mutation,MAF_W,mean_Beta,mean_P,median_Beta,median_P,first_Beta,first_P,min_Beta,min_P,max_Beta,max_P,ever_low_OR,ever_low_P,ever_high_OR,ever_high_P,Lab_cat,Lab_full_name,SNP.1,lab_name,jd_string,trait
0,rs2282679,25DTot,mean,1.639e-31,-3.339,Vitamin D levels || Vitamin D insufficiency,Vitamin D insufficiency || Vitamin D levels,4,72608383.0,GC,rs2282679,5257.0,3630.0,0.0,"Silent,Silent,Silent",0.2848,-3.339,1.639e-31,-3.2889999999999997,1.7e-30,-3.5010000000000003,6.59e-27,-3.3360000000000003,5.2639999999999994e-30,-3.398,4.183e-23,1.0,1.0,0.97,0.5528,Nutrition,25-HYDROXY D TOTAL,rs2282679,25DTot,Vitamin D deficiency,Vitamin D insufficiency
1,rs12785878,25DTot,mean,0.469,-0.218,Vitamin D insufficiency,Vitamin D levels || Vitamin D insufficiency,11,71167449.0,NADSYN1,rs12785878,5257.0,3630.0,0.0,Silent,0.2422,-0.218,0.469,-0.1972,0.5133,-0.01585,0.9631,-0.1379,0.6549,-0.2397,0.5066,1.0,1.0,0.97,0.5173,Nutrition,25-HYDROXY D TOTAL,rs12785878,25DTot,Vitamin D deficiency,Vitamin D insufficiency
2,rs10741657,25DTot,mean,1.545e-13,1.962,Vitamin D insufficiency,,11,14914878.0,,rs10741657,5257.0,3630.0,0.0,,0.3868,1.962,1.545e-13,1.952,2.2800000000000004e-13,2.015,2.875e-11,1.864,7.948e-12,2.088,5.6689999999999994e-11,1.0,1.0,0.99,0.758,Nutrition,25-HYDROXY D TOTAL,rs10741657,25DTot,Vitamin D deficiency,Vitamin D insufficiency
3,rs2282679,25DTot,mean,1.639e-31,-3.339,Vitamin D levels || Vitamin D insufficiency,Vitamin D insufficiency || Vitamin D levels,4,72608383.0,GC,rs2282679,5257.0,3630.0,0.0,"Silent,Silent,Silent",0.2848,-3.339,1.639e-31,-3.2889999999999997,1.7e-30,-3.5010000000000003,6.59e-27,-3.3360000000000003,5.2639999999999994e-30,-3.398,4.183e-23,1.0,1.0,0.97,0.5528,Nutrition,25-HYDROXY D TOTAL,rs2282679,25DTot,Vitamin D deficiency,Vitamin D levels
5,rs10502868,Alb,min,0.052820000000000006,0.02277,Biochemical measures (albumin),Menarche (age at onset) || Hematological and biochemical traits (BUN) || Renal function-related traits (BUN) || Metabolite levels (BUN) || Male-pattern baldness || Biochemical measures (albumin),18,43153949.0,SLC14A2,rs10502868,22697.0,645.0,8138.0,Silent,0.07015,0.011479999999999999,0.1165,0.01188,0.11,0.00018109999999999998,0.9837,0.02277,0.052820000000000006,-0.001575,0.8374,0.97,0.4148,0.92,0.4483,LiverPanel,ALBUMIN BLOOD,rs10502868,ALB,Other specified disorders of plasma protein metabolism,Biochemical measures (albumin)
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs1260326,ALB,Other specified disorders of plasma protein metabolism,Hematological and biochemical traits (ALB)
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs115136538,ALB,Other specified disorders of plasma protein metabolism,Lipid metabolism phenotypes (Albumin)
8,rs2280401,Alb,min,0.3941,0.006940999999999999,Serum albumin level || Serum albumin level (EA) || Hematological and biochemical traits (TP) || Serum total protein level || Metabolite levels (ALB) || Serum total protein level (Japanese),Hematological and biochemical traits (TP) || Metabolite levels (ALB) || Serum albumin level || Serum albumin level (EA) || Serum total protein level || Serum total protein level (Japanese),19,50000009.0,RPS11,rs2280401,22697.0,645.0,8138.0,Silent,0.1592,0.002228,0.66,0.0026100000000000003,0.6121,-0.002543,0.6794,0.006940999999999999,0.3941,0.0022199999999999998,0.6762,0.98,0.5392,0.96,0.6179,LiverPanel,ALBUMIN BLOOD,rs2280401,ALB,Other specified disorders of plasma protein metabolism,Metabolite levels (ALB)
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs780092,ALB,Other specified disorders of plasma protein metabolism,Metabolite levels (ALB)
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs1260326,ALB,Other specified disorders of plasma protein metabolism,Non-albumin protein levels (ALB)
