"Chr","Chr_pos","SNP","jd_code","PUBMEDID","Disease_Trait","Reported_Gene","Mapped_gene","p_value","OR_or_beta_text","CI_95","Context","Risk_Allele_Frequency","Initial_Sample_Size","SNP","jd_code","jd_string","cases","controls","odds_ratio","P","CHR","BP","gene","rsID","Mutation","MAF_W","PHRED","catalog_assoc_SNP","catalog_assoc_gene","RawScore","Category","Category_string"
8,19844222,"rs12678919",272.12,24097068,"Triglycerides","LPL","LPL - RPL30P9",2E-199,.17,"[NR] mg/dL decrease","Intergenic",0.13,"94,595 European ancestry individuals","rs12678919",272.12,"Hyperglyceridemia",209,18595,0.57,0.005696,8,19844222,"","rs12678919","",0.10010000,0.3810,"HDL cholesterol || Hematological and biochemical traits (HDL) || Triglycerides || Metabolite levels",NULL,-0.928540,3,"endocrine/metabolic"
8,19847690,"rs10503669",272.12,21909109,"Triglycerides","LPL","LPL - RPL30P9",7E-39,.09,"[0.073-0.098] mg/dL decrease","Intergenic",0.12,"12,545 Korean ancestry individuals","rs10503669",272.12,"Hyperglyceridemia",209,18595,0.57,0.005708,8,19847690,"","rs10503669","",0.09997000,6.6380,"Triglycerides || HDL cholesterol",NULL,0.486195,3,"endocrine/metabolic"
8,19844222,"rs12678919",272.12,20686565,"Triglycerides","LPL","LPL - RPL30P9",2E-115,13.64,"[12.37-14.91] mg/dL decrease","Intergenic",0.12,"Up to 96,598 European descent individuals","rs12678919",272.12,"Hyperglyceridemia",209,18595,0.57,0.005696,8,19844222,"","rs12678919","",0.10010000,0.3810,"HDL cholesterol || Hematological and biochemical traits (HDL) || Triglycerides || Metabolite levels",NULL,-0.928540,3,"endocrine/metabolic"
8,19844222,"rs12678919",272.12,19060906,"Triglycerides","LPL","LPL - RPL30P9",2E-41,.25,"[0.19-0.31] s.d. decrease","Intergenic",0.10,"19,840 individuals","rs12678919",272.12,"Hyperglyceridemia",209,18595,0.57,0.005696,8,19844222,"","rs12678919","",0.10010000,0.3810,"HDL cholesterol || Hematological and biochemical traits (HDL) || Triglycerides || Metabolite levels",NULL,-0.928540,3,"endocrine/metabolic"
8,19847690,"rs10503669",272.12,18193043,"Triglycerides","LPL","LPL - RPL30P9",4E-22,11.57,"[NR] mg/dl higher","Intergenic",0.90,"8,684 individuals","rs10503669",272.12,"Hyperglyceridemia",209,18595,0.57,0.005708,8,19847690,"","rs10503669","",0.09997000,6.6380,"Triglycerides || HDL cholesterol",NULL,0.486195,3,"endocrine/metabolic"
8,19830921,"rs10096633",272.12,20139978,"Triglycerides","LPL","LPL - RPL30P9",9E-14,.17,"[0.12-0.21] unit decrease","Intergenic",0.12,"8,993 Japanese ancestry individuals","rs10096633",272.12,"Hyperglyceridemia",209,18595,0.65,0.0112,8,19830921,"","rs10096633","",0.12960000,1.3660,"Triglycerides || Metabolic traits (TG)",NULL,-0.587439,3,"endocrine/metabolic"
8,19830921,"rs10096633",272.12,19060911,"Triglycerides","LPL","LPL - RPL30P9",2E-18,.17,"[NR] s.d. increase","Intergenic",0.88,"17,815 individuals","rs10096633",272.12,"Hyperglyceridemia",209,18595,0.65,0.0112,8,19830921,"","rs10096633","",0.12960000,1.3660,"Triglycerides || Metabolic traits (TG)",NULL,-0.587439,3,"endocrine/metabolic"
4,9966380,"rs7442295",274.1,18327256,"Urate levels","SLC2A9","SLC2A9",3E-70,.35,"[NR] mg/dl decrease in uric acid","intron",0.40,"1,644 individuals","rs7442295",274.1,"Gout",1059,28012,0.65,0.000000000001894,4,9966380,"SLC2A9","rs7442295","Silent,Silent",0.21580000,1.9790,"Urate levels","Gout || Serum uric acid levels || Uric acid levels (men) || Uric acid levels (women) || Urate levels || Renal function-related traits (urea) || Uric acid levels || Metabolic traits (urate, histidine) || Uric acid levels (Obese) || Biochemical measures (uric acid) || Urate levels (Gout) || Urate levels (Urate) || Urate levels (whites)",-0.434625,3,"endocrine/metabolic"
4,9966380,"rs7442295",274.1,18179892,"Urate levels","SLC2A9,WDR1","SLC2A9",2E-15,.02,"[0.02-0.03] mMol/L higher","intron",0.79,"1,955 hypertensive individuals","rs7442295",274.1,"Gout",1059,28012,0.65,0.000000000001894,4,9966380,"SLC2A9","rs7442295","Silent,Silent",0.21580000,1.9790,"Urate levels","Gout || Serum uric acid levels || Uric acid levels (men) || Uric acid levels (women) || Urate levels || Renal function-related traits (urea) || Uric acid levels || Metabolic traits (urate, histidine) || Uric acid levels (Obese) || Biochemical measures (uric acid) || Urate levels (Gout) || Urate levels (Urate) || Urate levels (whites)",-0.434625,3,"endocrine/metabolic"
4,9923004,"rs734553",274.1,21983786,"Serum uric acid levels","SLC2A9","SLC2A9",1E-80,.24,"[0.22-0.27] s.d. increase","intron",0.79,"15,506 Icelandic ancestry individuals","rs734553",274.1,"Gout",1059,28012,0.66,0.000000000002231,4,9923004,"SLC2A9","rs734553","Silent,Silent",0.23940000,5.1850,"Serum uric acid levels || Uric acid levels (men) || Uric acid levels (women) || Gout","Gout || Serum uric acid levels || Uric acid levels (men) || Uric acid levels (women) || Urate levels || Renal function-related traits (urea) || Uric acid levels || Metabolic traits (urate, histidine) || Uric acid levels (Obese) || Biochemical measures (uric acid) || Urate levels (Gout) || Urate levels (Urate) || Urate levels (whites)",0.219652,3,"endocrine/metabolic"
4,9995182,"rs3775948",274.1,21294900,"Uric acid levels","SLC2A9","SLC2A9",1E-9,.18,"[0.12-0.24] unit decrease","intron",0.34,"1,017 African American individuals","rs3775948",274.1,"Gout",1059,28012,0.66,0.0000000000005468,4,9995182,"SLC2A9","rs3775948","Silent,Silent",0.24300000,2.6560,"Uric acid levels || Renal function-related traits (urea)","Gout || Serum uric acid levels || Uric acid levels (men) || Uric acid levels (women) || Urate levels || Renal function-related traits (urea) || Uric acid levels || Metabolic traits (urate, histidine) || Uric acid levels (Obese) || Biochemical measures (uric acid) || Urate levels (Gout) || Urate levels (Urate) || Urate levels (whites)",-0.280901,3,"endocrine/metabolic"
4,9923004,"rs734553",274.1,19503597,"Uric acid levels","SLC2A9","SLC2A9",1E-41,.22,"[0.188-0.252] mg/dl increase","intron",0.77,"12,328 European ancestry males, 15,813 European ancestry females","rs734553",274.1,"Gout",1059,28012,0.66,0.000000000002231,4,9923004,"SLC2A9","rs734553","Silent,Silent",0.23940000,5.1850,"Serum uric acid levels || Uric acid levels (men) || Uric acid levels (women) || Gout","Gout || Serum uric acid levels || Uric acid levels (men) || Uric acid levels (women) || Urate levels || Renal function-related traits (urea) || Uric acid levels || Metabolic traits (urate, histidine) || Uric acid levels (Obese) || Biochemical measures (uric acid) || Urate levels (Gout) || Urate levels (Urate) || Urate levels (whites)",0.219652,3,"endocrine/metabolic"
