ind	SNP	pheno	maf	prev	table	logit_OR	logit_p-val	exact_OR	exact_p-val
7	exm41	pheno_038	1.447e-03	7.407e-02	[[24889, 73], [1991, 6]]	1.008e+00	9.851e-01	1.027e+00	4.116e-01
8	exm41	pheno_038.1	1.447e-03	1.062e-02	[[24889, 73], [266, 2]]	2.460e+00	2.116e-01	2.563e+00	9.093e-02
9	exm41	pheno_038.2	1.447e-03	8.027e-03	[[24889, 73], [201, 1]]	1.666e+00	6.130e-01	1.696e+00	1.917e-01
10	exm41	pheno_038.3	1.447e-03	4.430e-02	[[24889, 73], [1152, 5]]	1.443e+00	4.295e-01	1.480e+00	1.741e-01
11	exm41	pheno_041	1.447e-03	1.027e-01	[[24889, 73], [2846, 10]]	1.194e+00	5.999e-01	1.198e+00	2.611e-01
12	exm41	pheno_041.1	1.447e-03	4.323e-02	[[24889, 73], [1125, 3]]	8.861e-01	8.380e-01	9.092e-01	1.568e-01
13	exm41	pheno_041.11	1.447e-03	2.029e-02	[[24889, 73], [516, 1]]	6.471e-01	6.661e-01	6.607e-01	6.927e-02
15	exm41	pheno_041.2	1.447e-03	2.229e-02	[[24889, 73], [566, 3]]	1.776e+00	3.309e-01	1.807e+00	1.379e-01
16	exm41	pheno_041.4	1.447e-03	2.336e-02	[[24889, 73], [595, 2]]	1.184e+00	8.141e-01	1.146e+00	3.285e-01
18	exm41	pheno_041.9	1.447e-03	1.809e-02	[[24889, 73], [459, 1]]	7.335e-01	7.585e-01	7.428e-01	1.650e-02
19	exm41	pheno_053	1.447e-03	1.336e-02	[[24381, 70], [330, 1]]	1.046e+00	9.644e-01	1.055e+00	3.421e-01
20	exm41	pheno_053.1	1.447e-03	3.261e-03	[[24381, 70], [79, 1]]	4.394e+00	1.460e-01	4.409e+00	6.032e-02
21	exm41	pheno_054	1.447e-03	8.153e-03	[[24381, 70], [200, 1]]	1.812e+00	5.564e-01	1.742e+00	1.855e-01
22	exm41	pheno_070	1.447e-03	3.226e-02	[[24381, 70], [812, 2]]	8.582e-01	8.316e-01	8.579e-01	1.037e-01
23	exm41	pheno_070.2	1.447e-03	3.870e-03	[[24381, 70], [94, 1]]	3.670e+00	1.996e-01	3.705e+00	7.397e-02
24	exm41	pheno_070.3	1.447e-03	1.744e-02	[[24381, 70], [431, 2]]	1.614e+00	5.063e-01	1.616e+00	1.910e-01
29	exm41	pheno_079	1.447e-03	3.026e-02	[[24381, 70], [762, 1]]	4.988e-01	4.936e-01	4.571e-01	2.056e-01
31	exm41	pheno_080	1.447e-03	3.394e-02	[[26847, 78], [945, 1]]	3.628e-01	3.139e-01	3.642e-01	1.073e-01
32	exm41	pheno_081	1.447e-03	3.695e-02	[[26847, 78], [1028, 5]]	1.661e+00	2.732e-01	1.674e+00	1.259e-01
33	exm41	pheno_090	1.447e-03	1.181e-03	[[29511, 84], [34, 1]]	1.030e+01	2.244e-02	1.033e+01	2.320e-02
34	exm41	pheno_110	1.447e-03	3.502e-02	[[25635, 74], [929, 4]]	1.480e+00	4.478e-01	1.492e+00	1.852e-01
35	exm41	pheno_110.1	1.447e-03	3.302e-02	[[25635, 74], [874, 4]]	1.576e+00	3.794e-01	1.585e+00	1.611e-01
36	exm41	pheno_110.11	1.447e-03	2.458e-02	[[25635, 74], [645, 3]]	1.589e+00	4.355e-01	1.611e+00	1.730e-01
40	exm41	pheno_112	1.447e-03	3.411e-02	[[25635, 74], [905, 3]]	1.166e+00	7.947e-01	1.148e+00	3.293e-01
61	exm41	pheno_153	1.447e-03	4.134e-02	[[24370, 72], [1052, 2]]	6.582e-01	5.623e-01	6.435e-01	7.646e-02
62	exm41	pheno_153.2	1.447e-03	3.528e-02	[[24370, 72], [892, 2]]	7.752e-01	7.243e-01	7.589e-01	3.782e-02
63	exm41	pheno_153.3	1.447e-03	1.926e-02	[[24370, 72], [479, 1]]	7.271e-01	7.525e-01	7.066e-01	1.237e-04
66	exm41	pheno_157	1.447e-03	8.602e-03	[[25276, 77], [219, 1]]	1.532e+00	6.729e-01	1.499e+00	2.234e-01
67	exm41	pheno_158	1.447e-03	9.416e-03	[[25276, 77], [238, 3]]	4.156e+00	1.648e-02	4.138e+00	2.816e-02
68	exm41	pheno_159	1.447e-03	1.778e-02	[[25276, 77], [457, 2]]	1.454e+00	6.032e-01	1.437e+00	2.308e-01
69	exm41	pheno_159.2	1.447e-03	5.335e-03	[[25276, 77], [135, 1]]	2.473e+00	3.708e-01	2.432e+00	1.229e-01
73	exm41	pheno_165	1.447e-03	4.352e-02	[[27873, 80], [1269, 3]]	8.516e-01	7.866e-01	8.237e-01	7.466e-02
74	exm41	pheno_165.1	1.447e-03	4.284e-02	[[27873, 80], [1248, 3]]	8.659e-01	8.083e-01	8.375e-01	8.560e-02
75	exm41	pheno_170	1.447e-03	2.399e-02	[[28514, 84], [702, 1]]	4.825e-01	4.692e-01	4.836e-01	2.260e-01
77	exm41	pheno_170.2	1.447e-03	1.542e-02	[[28514, 84], [447, 1]]	7.569e-01	7.821e-01	7.594e-01	1.036e-02
78	exm41	pheno_172	1.447e-03	1.130e-01	[[24008, 69], [3061, 7]]	8.318e-01	6.500e-01	7.957e-01	1.004e-01
79	exm41	pheno_172.1	1.447e-03	4.747e-02	[[24008, 69], [1197, 3]]	8.894e-01	8.437e-01	8.720e-01	1.369e-01
80	exm41	pheno_172.11	1.447e-03	4.137e-02	[[24008, 69], [1036, 3]]	1.026e+00	9.661e-01	1.008e+00	4.090e-01
81	exm41	pheno_172.2	1.447e-03	8.372e-02	[[24008, 69], [2195, 5]]	8.362e-01	7.056e-01	7.926e-01	8.924e-02
82	exm41	pheno_172.21	1.447e-03	1.003e-02	[[24008, 69], [243, 1]]	1.514e+00	6.828e-01	1.432e+00	2.363e-01
85	exm41	pheno_173	1.447e-03	6.963e-02	[[24008, 69], [1799, 3]]	5.851e-01	3.659e-01	5.802e-01	2.787e-02
86	exm41	pheno_174	1.447e-03	5.784e-02	[[25544, 77], [1568, 5]]	1.049e+00	9.212e-01	1.058e+00	3.866e-01
87	exm41	pheno_174.1	1.447e-03	1.066e-01	[[12110, 36], [1445, 5]]	0.000e+00	0.000e+00	1.164e+00	3.112e-01
88	exm41	pheno_174.11	1.447e-03	1.059e-01	[[12110, 36], [1433, 5]]	0.000e+00	0.000e+00	1.174e+00	3.055e-01
90	exm41	pheno_175	1.447e-03	2.855e-02	[[11198, 29], [329, 1]]	0.000e+00	0.000e+00	1.174e+00	2.985e-01
94	exm41	pheno_182	1.447e-03	2.358e-02	[[12590, 36], [304, 1]]	0.000e+00	0.000e+00	1.150e+00	3.067e-01
95	exm41	pheno_184	1.447e-03	3.367e-02	[[12793, 36], [444, 3]]	0.000e+00	0.000e+00	2.401e+00	7.949e-02
96	exm41	pheno_184.1	1.447e-03	2.522e-02	[[12793, 36], [330, 2]]	0.000e+00	0.000e+00	2.154e+00	1.202e-01
97	exm41	pheno_184.11	1.447e-03	2.031e-02	[[12793, 36], [264, 2]]	0.000e+00	0.000e+00	2.692e+00	8.445e-02
98	exm41	pheno_184.2	1.447e-03	1.209e-02	[[12793, 36], [155, 2]]	0.000e+00	0.000e+00	4.585e+00	3.804e-02
99	exm41	pheno_185	1.447e-03	1.422e-01	[[9656, 28], [1598, 8]]	0.000e+00	0.000e+00	1.726e+00	8.843e-02
103	exm41	pheno_189	1.447e-03	3.627e-02	[[28168, 78], [1058, 5]]	1.813e+00	2.065e-01	1.707e+00	1.196e-01
104	exm41	pheno_189.1	1.447e-03	2.104e-02	[[28168, 78], [603, 4]]	2.465e+00	8.176e-02	2.396e+00	6.127e-02
105	exm41	pheno_189.11	1.447e-03	1.879e-02	[[28168, 78], [537, 4]]	2.764e+00	4.987e-02	2.690e+00	4.683e-02
106	exm41	pheno_189.12	1.447e-03	3.422e-03	[[28168, 78], [96, 1]]	3.876e+00	1.828e-01	3.762e+00	7.269e-02
107	exm41	pheno_189.2	1.447e-03	1.729e-02	[[28168, 78], [496, 1]]	7.627e-01	7.902e-01	7.281e-01	8.631e-02
108	exm41	pheno_189.21	1.447e-03	1.705e-02	[[28168, 78], [489, 1]]	7.742e-01	8.016e-01	7.385e-01	6.574e-04
109	exm41	pheno_189.4	1.447e-03	6.437e-03	[[28168, 78], [181, 2]]	4.090e+00	5.195e-02	3.990e+00	4.614e-02
