"cID","SNP","PUBMEDID","Study","Disease_Trait","Initial_Sample_Size","Replication_Sample_Size","Region","Chr","Chr_pos","Reported_Gene","Mapped_gene","Upstream_gene_id","Downstream_gene_id","Strongest_SNP","SNPs","Snp_id_current","Context","Intergenic","Risk_Allele_Frequency","p_value","Pvalue_mog","p_value_text","OR_or_beta_text","OR_or_beta","CI_95","Platform","CNV","tID","Date_Added_to_Catalog","continuous_trait","GWS","tID","trait","match_available","jd_code","lab_available","lab_name","good_match"
9881,"rs6015450",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Hypertension","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","20q13.32",20,57751117,"GNAS, EDN3","MRPS16P2 - ZNF831",128609,128611,"rs6015450-G","rs6015450",6015450,"Intergenic",1,0.12,4E-14,13.3979,"",.11,0.11,"[NR] unit increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",1095,"2011-10-21",1,1,24,"Hypertension",1,401,NULL,NULL,NULL
9882,"rs633185",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Hypertension","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","11q22.1",11,100593538,"FLJ32810, TMEM133","ARHGAP42",NULL,NULL,"rs633185-G","rs633185",633185,"intron",0,0.28,5E-11,10.301,"",.07,0.07,"[NR] unit decrease","Affymetrix & Illumina [~2.5 million] (imputed)","N",1095,"2011-10-21",1,1,24,"Hypertension",1,401,NULL,NULL,NULL
9883,"rs805303",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Hypertension","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","6p21.33",6,31616366,"BAT2, BAT5","BAG6",NULL,NULL,"rs805303-G","rs805303",805303,"intron",0,0.61,1E-10,10,"",.05,0.05,"[NR] unit increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",1095,"2011-10-21",1,1,24,"Hypertension",1,401,NULL,NULL,NULL
9884,"rs1799945",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Hypertension","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","6p22.2",6,26091179,"HFE","HFE",NULL,NULL,"rs1799945-G","rs1799945",1799945,"missense",0,0.14,2E-10,9.69897,"",.10,0.10,"[NR] unit increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",1095,"2011-10-21",1,1,24,"Hypertension",1,401,NULL,NULL,NULL
9885,"rs1173771",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Hypertension","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","5p13.3",5,32815028,"NPR3, C5orf23","NPR3 - RPS8P8",4883,728553,"rs1173771-G","rs1173771",1173771,"Intergenic",1,0.60,3E-10,9.52288,"",.06,0.06,"[NR] unit increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",1095,"2011-10-21",1,1,24,"Hypertension",1,401,NULL,NULL,NULL
9886,"rs932764",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Hypertension","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","10q23.33",10,95895940,"PLCE1","PLCE1",NULL,NULL,"rs932764-G","rs932764",932764,"intron",0,0.44,9E-9,8.04576,"",.06,0.06,"[NR] unit increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",1095,"2011-10-21",1,1,24,"Hypertension",1,401,NULL,NULL,NULL
9887,"rs4373814",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Hypertension","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","10p12.33",10,18419972,"CACNB2","SLC39A12 - CACNB2",221074,783,"rs4373814-G","rs4373814",4373814,"Intergenic",1,0.55,9E-8,7.04576,"",.05,0.05,"[NR] unit decrease","Affymetrix & Illumina [~2.5 million] (imputed)","N",1095,"2011-10-21",1,0,24,"Hypertension",1,401,NULL,NULL,NULL
15169,"rs11014166",19430479,"Genome-wide association study of blood pressure and hypertension.","Hypertension","29,136 individuals","34,433 individuals","10p12.31",10,18708798,"CACNB2","CACNB2",NULL,NULL,"rs11014166-A","rs11014166",11014166,"intron",0,0.66,6E-8,7.22185,"",.09,0.09,"[0.05-0.13] increase in log odds","Affymetrix & Illumina [2,533,153](imputed)","N",1095,"2009-05-19",1,0,24,"Hypertension",1,401,NULL,NULL,NULL
15170,"rs2681472",19430479,"Genome-wide association study of blood pressure and hypertension.","Hypertension","29,136 individuals","34,433 individuals","12q21.33",12,90008959,"ATP2B1","ATP2B1",NULL,NULL,"rs2681472-A","rs2681472",2681472,"intron",0,0.83,2E-11,10.699,"",.15,0.15,"[0.11-0.19] increase in log odds","Affymetrix & Illumina [2,533,153](imputed)","N",1095,"2009-05-19",1,1,24,"Hypertension",1,401,NULL,NULL,NULL
8323,"rs2046045",22494929,"Meta-analysis of two genome-wide association studies identifies four genetic loci associated with thyroid function.","Thyroid function","3,736 European ancestry individuals","3,727 European ancestry individuals","5q13.3",5,76535811,"PDE8B","PDE8B",NULL,NULL,"rs2046045-T","rs2046045",2046045,"intron",0,0.618,3E-27,26.5229,"",.12,0.12,"[0.093-0.137] unit decrease","Affymetrix & Illumina [2,524,918] (imputed)","N",2583,"2012-06-18",1,1,27,"Thyroid function",1,246.7,NULL,NULL,NULL
