SNP_name	Phenotype	Chr	Disease_Trait	Sample Size (Reported)	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_common	p-val_common	MAF_common	OR_combined	p-val_combined	OR_remainder	p-val_remainder	P_12	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_common	A_cmb	A_rem
rs429608	pheno_362.2	6	Age-related macular degeneration	6,713 European ancestry cases, 48,402 European ancestry contols, 110 Southern Indian ancestry cases, 119 Southern Indian ancestry controls, 827 Japanese ancestry cases, 3,323 Japanese ancestry controls	4E-89	1.74	0.86	C2, CFB	0.832987907195	0.00531964577689	0.0470437796547	0.738559163211	0.0089483449057	0.904663855934	0.107964363782	0.238095238095	exm-rs638383,exm-rs6939227	0.0463981696444,0.0463187293896	0.736068585426,0.737855159662	0.021849219526,0.0217796836699	[[18948, 6902, 631], [636, 197, 13]]	[[24033, 2377, 67], [786, 60, 0]]	[[21123, 4794, 564], [686, 147, 13]]
rs548234	pheno_695.42	6	Systemic lupus erythematosus	1,047 Chinese Han cases, 1,205 Chinese Han controls	5E-12	1.25	0.26	PRDM1, ATG5	1.22393668511	0.00223998159498	0.00195141645919	3.11202281483	0.0139574028522	1.21710694192	0.00288495101441	0.00772200772201	exm568967	0.00195141645919	3.11202281483	0.0264615543165	[[11269, 10951, 2703], [178, 191, 68]]	[[24835, 90, 1], [432, 5, 0]]	[[11314, 10907, 2702], [180, 189, 68]]
rs240993	pheno_696.4	6	Psoriasis	2,178 European ancestry cases, 5,175 European ancestry controls	5E-20	1.25	0.25	TRAF3IP2	1.27613637902	0.00095840993307	0.00366855142703	2.41561405294	0.0186729636734	1.26216581827	0.00158181033927	0.0192307692308	exm572427	0.00366855142703	2.41561405294	0.0309752685711	[[12684, 9454, 1695], [181, 167, 41]]	[[23656, 170, 4], [383, 7, 0]]	[[12803, 9335, 1695], [185, 163, 41]]
rs610604	pheno_696.4	6	Psoriasis	1,359 cases, 1,400 controls	9E-12	1.19	0.32	TNFAIP3	1.17498670869	0.0166936160132	5.05765729314e-05	30.6520618557	0.00902804464684	1.17498670869	0.0166936160132	0.0	exm581589	5.05765729314e-05	30.6520618557	0.0474984815062	[[11013, 10317, 2506], [164, 173, 53]]	[[23786, 2], [388, 1]]	[[11013, 10317, 2506], [164, 173, 53]]
rs9271366	pheno_555.2	6	Ulcerative colitis	388 Korean ancestry cases, 739 Korean ancestry controls	1E-18	2.10	0.11	HLA-DRB1, HLA-DQA1	1.28850914616	0.00633342829928	0.00653616791887	2.07827380952	0.0237250112903	1.24175237888	0.0185616058035	0.0733944954128	exm-rs2858880,exm536425,exm2275871,exm536439	0.00567053676594,0.00644368922238,0.00639859904358,0.00641004071469	2.45286730607,2.09974308683,2.12723214286,2.11442808353	0.0145107323622,0.0454892358332,0.0441233128393,0.0448436079257	[[15448, 5290, 492], [236, 92, 17]]	[[20949, 270], [336, 9]]	[[15673, 5065, 492], [244, 84, 17]]
rs9268853	pheno_555.2	6	Ulcerative colitis	6,687 European ancestry cases, 19,718 European ancestry controls	1E-55	1.40	0.66	HLA-DRB5, HLA-DQA1, HLA-DRB1, HLA-DRA, BTNL2	0.666308786707	8.45487838075e-07	0.0774573738197	0.426162471144	1.57595681083e-06	0.711154670351	4.61946626252e-05	0.0789473684211	exm-rs28421666,exm536611,exm-rs3806155,exm-rs2395148,exm535447	0.02739495232,0.0082003098269,0.0327802235015,0.0242076576273,0.0291543226501	0.356805944912,0.181940700809,0.513349812254,0.29011308924,0.476742113705	0.00219118634775,0.0487165763644,0.0176387773595,0.00157714915731,0.0167119906101	[[9161, 9495, 2591], [194, 124, 28]]	[[17801, 3166, 71], [319, 22, 1]]	[[10677, 8007, 2563], [206, 113, 27]]
rs9268923	pheno_555.2	6	Ulcerative colitis	1,043 German cases, 1,703 German controls	4E-15	1.45	0.67	HLA-DRA	0.667297280014	9.24618261844e-07	0.0605685822716	0.500768344218	0.000213816546303	0.694309757464	1.37653563931e-05	0.0789473684211	exm535447,exm-rs3806155	0.0291543226501,0.0327802235015	0.476742113705,0.513349812254	0.0167119906101,0.0176387773595	[[9166, 9494, 2583], [194, 124, 28]]	[[18540, 2499, 52], [324, 20, 1]]	[[10449, 8239, 2555], [206, 113, 27]]
rs9268877	pheno_555.2	6	Ulcerative colitis	1,167 cases,777 controls	6E-18	1.45	0.45	HLA-DRA, BTNL2	1.45544071583	5.43282394483e-07	0.00663004035677	2.08436094468	0.0228571814169	1.43814527562	1.19537249984e-06	0.0157480314961	exm-rs2076535,exm535397,exm535395,exm535437,exm535361,exm535389,exm-rs3763315	0.00632528093668,0.0065064557561,0.00644998315931,0.00652767938468,0.00645986138214,0.00645986138214,0.00647690185391	2.14889455446,2.10282338807,2.12031624261,2.08429441172,2.10794622654,2.10794622654,2.10784639957	0.0428686493515,0.0453100875391,0.0443234792936,0.0464332554116,0.0450123215404,0.0450123215404,0.045018049936	[[7570, 10105, 3570], [91, 164, 90]]	[[20799, 265, 1], [334, 9, 0]]	[[7685, 9990, 3570], [95, 160, 90]]
rs3129934	pheno_335	6	Multiple sclerosis	197 European ancestry cases, 234 European ancestry controls	7E-16	2.34	0.10	C6orf10	2.38715254688	7.55134680637e-21	0.00906888313087	2.2381284221	0.00654950751092	2.3557221252	4.05445736655e-20	0.0185185185185	exm-rs7775149	0.00906888313087	2.2381284221	0.0140474020595	[[15784, 6283, 618], [138, 131, 31]]	[[22283, 398, 6], [288, 12, 0]]	[[15845, 6222, 618], [141, 128, 31]]
rs9271366	pheno_335	6	Multiple sclerosis	1,618 European ancestry cases, 3,413 European ancestry controls	7E-184	2.78	0.15	HLA-DRB1	2.68775785465	1.58669366175e-25	0.00419358111536	2.37754508435	0.0277670669825	2.65129086357	2.09031240285e-24	0.0365853658537	exm536451	0.00419358111536	2.37754508435	0.0463212275779	[[16537, 5642, 491], [136, 139, 25]]	[[22384, 189, 1], [294, 6, 0]]	[[16721, 5459, 490], [142, 133, 25]]
rs3135388	pheno_335	6	Multiple sclerosis	2,624 cases, 7,220 controls	4E-225	2.75	0.22	HLA-DRB1	2.65620675722	2.75622221167e-24	0.00419358111536	2.37754508435	0.0277670669825	2.66057633077	2.35284744025e-24	0.0	exm536451	0.00419358111536	2.37754508435	0.0463212275779	[[16762, 5482, 446], [143, 131, 25]]	[[22384, 189, 1], [294, 6, 0]]	[[16771, 5473, 446], [143, 131, 25]]
rs9277535	pheno_070.2	6	Hepatitis B	458 Japanese ancestry cases, 2,056 Japanese ancestry controls	3E-54	1.77	0.57	HLA-DPB1	1.42910937542	0.0121355541233	0.0298364297254	1.99893479244	0.0190804494816	1.37403432055	0.0255904858721	0.117647058824	exm-rs3135195	0.0298364297254	1.99893479244	0.0316899320276	[[13829, 9074, 1540], [44, 41, 10]]	[[23012, 1402, 28], [85, 9, 1]]	[[14784, 8138, 1521], [50, 35, 10]]
rs9277554	pheno_446.4	6	Wegener's granulomatosis	459 European ancestry cases, 1,503 European ancestry controls	2E-50	4.17	0.708	HLA-DPB1, HLA-DPB2, HSD17B8, RING1, COL11A2, RXRB, HLA-DOA, HLA-DPB1*04	0.521666658523	1.53877880871e-05	0.0834539639791	0.186156932632	4.17921735485e-06	0.62638035379	0.00206216014351	0.0810810810811	exm537446,exm-rs3130605,exm-rs9380343,exm-rs4551215,exm-rs3097657,exm-rs3129301,exm-rs6937034,exm-rs423209,exm-rs2068204,exm537454	0.0326200329733,0.0228282080614,0.0354041865787,0.0328039835812,0.0250159819656,0.0252346825477,0.0296759866761,0.0374133638382,0.0348105525271,0.0332436069987	0.252323324333,0.176835029001,0.113468824341,0.250676134343,0.160515644693,0.159189275498,0.135363525035,0.214525460817,0.116003759474,0.247894680738	0.0271485158099,0.0487655565522,0.00408929937484,0.0271480590797,0.0352252062636,0.0357078147598,0.0117515638922,0.0098886547271,0.00390488059751,0.0272595133728	[[11495, 10226, 2310], [82, 29, 8]]	[[20084, 3861, 91], [115, 4, 0]]	[[14023, 7765, 2243], [85, 26, 8]]
rs10484561	pheno_202.21	6	Follicular lymphoma	681 European ancestry cases, 750 European ancestry controls	1E-29	1.95	0.11	HLA-DQB1	1.62422450894	3.27397192395e-05	0.0421741470964	1.54720797266	0.0108227713671	1.54339209178	0.000306160560457	0.121951219512	exm536671	0.0421741470964	1.54720797266	0.0206519777285	[[20932, 5557, 389], [176, 72, 10]]	[[24767, 2160, 52], [227, 33, 0]]	[[21404, 5085, 389], [186, 62, 10]]
