SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_common	p-val_common	MAF_common	OR_combined	p-val_combined	OR_remainder	p-val_remainder	rare_snps	rare_snps_mafs	rare_snps_pvals	rare_snps_ors	A_common	A_cmb	A_rem
rs1800693	pheno_571.6	12	Primary biliary cirrhosis	2,774 European ancestry cases, 9,814 European ancestry controls	2E-9	1.22	0.40	TNFRSF1A	1.38907242342	0.000189357807434	0.00250635171325	5.28745940931	0.000550253288672	1.32750757495	0.00110527145767	exm977148,exm977267,exm977097	0.00205754376497,0.000514085955172,0.000100935334096	5.18415465415,8.8777173913,24.5759493671	0.00358456229833,0.0246238128477,0.0495444467744	[[8231, 11202, 3867], [62, 120, 56]]	[[22739, 114, 1], [220, 6, 0]]	[[8289, 11144, 3867], [68, 114, 56]]
rs2066847	pheno_555.1	16	Crohn's disease	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	6E-209	3.10	0.024	NOD2,ADCY7	2.52294476107	3.00071767129e-08	0.00869784656797	2.76631685596	3.96650873925e-05	2.33141594809	1.28301260142e-06	exm1239990,exm1239878,exm1239871	0.00119440145347,0.00711641991925,0.000386918780701	3.76986350096,2.24777777778,8.47657705616	0.0262022893569,0.0073066403781,0.007540064256	[[20319, 919, 10], [400, 42, 3]]	[[20881, 364, 2], [425, 19, 1]]	[[20374, 864, 10], [406, 36, 3]]
rs2076756	pheno_555.1	16	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	1E-37	1.66	0.246	NOD2, CYLD, SNX20, NKD1	1.29134153742	0.00029538090685	0.0893533242466	1.98646117831	5.42946205585e-11	1.04401899563	0.301115455598	exm-rs2066847,exm1239990,exm1239948,exm1239878,exm1239871,exm1239999,exm-IND16-49321279	0.0226768050602,0.00119440145347,0.0474937533126,0.00711641991925,0.000386918780701,0.0144001076644,0.0226768050602	2.52294476107,3.76986350096,1.76862529006,2.24777777778,8.47657705616,1.91049041408,2.52294476107	7.04539329888e-08,0.0262022893569,6.195314404e-05,0.0073066403781,0.007540064256,0.00532271204307,7.04539329888e-08	[[11723, 8074, 1449], [215, 184, 46]]	[[15393, 3156, 53], [276, 108, 9]]	[[14108, 5741, 1397], [298, 109, 38]]
rs11574637	pheno_695.42	16	Systemic lupus erythematosus	1,311 cases,3,340 controls	3E-11	1.33	0.19	ITGAM, ITGAX	1.20772588114	0.0144813353516	0.00290275761974	3.81880539499	0.000472072219516	1.18216330872	0.0274026389263	exm1236368,exm1236430	0.00254826515458,0.000353297442799	3.25335471348,9.54482758621	0.00762648586675,0.0235085506915	[[16998, 7143, 723], [278, 142, 17]]	[[24708, 133, 1], [428, 9, 0]]	[[17101, 7040, 723], [283, 137, 17]]
rs5743289	pheno_555	16	Inflammatory bowel disease	1,011 cases,4,250 controls	4E-10	1.46	0.17	NOD2	1.21771702126	0.00297279899671	0.069405528209	1.60013006823	5.75398271894e-06	1.04825446836	0.285899609031	exm-rs2066847,exm1239990,exm1239948,exm1239871,exm1239939,exm-IND16-49321279	0.0226768050602,0.00119440145347,0.0474937533126,0.000386918780701,0.000201911428187,0.0226768050602	2.01166618259,3.37359943978,1.38800651038,6.06253569389,9.81923254739,2.01166618259	6.77265740278e-06,0.0211212806928,0.0131883700933,0.0181265393657,0.0253192267096,6.77265740278e-06	[[14235, 6315, 698], [386, 206, 29]]	[[16112, 2440, 51], [433, 97, 8]]	[[16377, 4224, 647], [474, 126, 21]]
rs258322	pheno_172.11	16	Melanoma	2,804 European ancestry cases, 7,618 European ancestry controls	3E-27	1.70	0.11	MC1R	1.4450861107	3.31882273727e-08	0.0228577250959	1.72897259158	1.19204641126e-05	1.42757511419	1.25006870113e-07	exm1271443,exm1271432	0.0225505179148,0.000302856950567	1.67799682666,5.80670849421	8.20025439909e-05,0.0221343303532	[[19534, 4316, 228], [777, 239, 23]]	[[22809, 1031, 6], [946, 74, 1]]	[[19640, 4210, 228], [786, 230, 23]]
rs613872	pheno_364.51	18	Fuchs's corneal dystrophy	130 European descent cases, 260 European descent controls	1E-18	5.47	0.15	TCF4	3.10169567158	1.40376969653e-08	0.0257738896366	3.18890727681	0.00170406461696	2.80882680125	7.09353300751e-07	exm-rs17512836	0.0257738896366	3.18890727681	0.00321413567273	[[18493, 7247, 734], [21, 30, 7]]	[[25138, 1323, 19], [50, 7, 1]]	[[19622, 6137, 715], [27, 25, 6]]
rs8170	pheno_174.11	19	Breast cancer	4,193 European ancestry cases, 35,194 European ancestry controls	9E-13	1.15	0.191	MERIT40	1.13085499703	0.00685094678046	0.00111178492015	4.48052668565	0.000286174184732	1.1272044879	0.00824421227603	exm1441605,exm1441827	0.000926268988514,0.000185091704526	3.77715443354,16.9226480836	0.0041672723592,0.0312057292828	[[8129, 3617, 397], [926, 447, 65]]	[[12114, 19], [1423, 10]]	[[8133, 3613, 397], [928, 445, 65]]
rs11083846	pheno_204.12	19	Chronic lymphocytic leukemia	505 cases, 1,438 controls	4E-9	1.35	0.22	PRKD2,STRN4	1.34534607128	0.00303650044226	3.36451113653e-05	124.322580645	0.00191120537658	1.34548603594	0.00302784250383	exm1483491	3.36451113653e-05	124.322580645	0.0159672226643	[[15916, 9599, 1459], [111, 88, 19]]	[[26978, 1], [217, 1]]	[[15917, 9598, 1459], [111, 88, 19]]
rs3745516	pheno_571.6	19	Primary biliary cirrhosis	2,774 European ancestry cases, 9,814 European ancestry controls	2E-13	1.38	0.23	SPIB	1.44157107182	0.000185215411727	0.0850310307609	1.77159182007	2.93689207476e-05	1.3331249016	0.00505495150343	exm1494446,exm1494449,exm1494441,exm1494462,exm1494474	0.0412166481612,0.0443610793352,0.000860062733988,0.0443610793352,0.0139458986609	1.71352213457,1.62395692066,11.0658082976,1.62728721285,2.06557926566	0.00672456906287,0.0128485095239,0.000695556872929,0.012771645685,0.0155177902026	[[13757, 8308, 1235], [114, 104, 20]]	[[19426, 3739, 75], [173, 62, 2]]	[[15924, 6179, 1197], [147, 72, 19]]
rs380390	pheno_362.2	1	Age-related macular degeneration	96 European ancestry cases,50 European ancestry controls	4E-8	4.60	0.70 (HapMap CEU)	CFH	1.30973155743	2.55783074477e-08	0.000226380923634	9.93113645965	0.00848055893155	1.3040550906	4.18267277045e-08	exm133428	0.000226380923634	9.93113645965	0.0260016596743	[[8833, 12931, 4702], [227, 411, 208]]	[[23507, 6], [789, 2]]	[[8838, 12926, 4702], [229, 409, 208]]
rs599839	pheno_411	1	Coronary heart disease	22,233 European ancestry cases, 64,762 European ancestry controls	3E-10	1.11	0.78	SORT1	0.945257883338	0.0136446297313	0.0125841184388	0.782712831096	0.00733447994081	0.955502013288	0.0393203906755	exm80613	0.0125841184388	0.782712831096	0.0169085883081	[[12963, 7874, 1137], [3334, 1919, 259]]	[[21413, 569, 5], [5401, 114, 0]]	[[13414, 7428, 1132], [3425, 1828, 259]]
rs11708067	pheno_250.2	3	Type 2 diabetes	2,112 lean type 2 diabetes cases, 4,123 obese type 2 diabetes cases, 54,412 controls	6E-8	1.25	0.78	ADCY5	0.947726361212	0.0235988733156	0.00385236525133	0.587555841464	0.00526510797365	0.948558386449	0.0256077320173	exm343931	0.00385236525133	0.587555841464	0.0130478968325	[[12531, 7787, 1213], [2804, 1614, 257]]	[[21355, 178, 1], [4652, 23, 0]]	[[12571, 7747, 1213], [2811, 1607, 257]]
rs2546890	pheno_696.4	5	Psoriasis	472 German cases, 1,146 German controls	1E-20	1.54	0.56	IL12B	0.702401203777	6.79566766415e-07	0.0305497611197	0.58100998057	0.0155673545081	0.721010482086	4.20673936741e-06	exm500154	0.0305497611197	0.58100998057	0.0444157826067	[[6398, 11914, 5521], [143, 186, 61]]	[[22397, 1428, 13], [376, 14, 0]]	[[7210, 11113, 5510], [151, 178, 61]]
rs3213094	pheno_696.4	5	Psoriasis	1,139 Chinese ancestry cases, 1,132 Chinese ancestry controls	3E-26	1.28	0.45	IL12B	0.767278077252	0.00284282839873	0.0305497611197	0.58100998057	0.0155673545081	0.783475027887	0.0057951405985	exm500154	0.0305497611197	0.58100998057	0.0444157826067	[[15277, 7621, 937], [274, 107, 9]]	[[22397, 1428, 13], [376, 14, 0]]	[[15578, 7320, 937], [276, 105, 9]]
rs429608	pheno_362.2	6	Age-related macular degeneration	6,713 European ancestry cases, 48,402 European ancestry contols, 110 Southern Indian ancestry cases, 119 Southern Indian ancestry controls, 827 Japanese ancestry cases, 3,323 Japanese ancestry controls	4E-89	1.74	0.86	C2, CFB	0.832987907195	0.00531964577689	0.0463981696444	0.736068585426	0.00874501143248	0.901919350515	0.101020573168	exm-rs638383	0.0463981696444	0.736068585426	0.021849219526	[[18948, 6902, 631], [636, 197, 13]]	[[24070, 2344, 67], [787, 59, 0]]	[[21107, 4810, 564], [686, 147, 13]]
rs548234	pheno_695.42	6	Systemic lupus erythematosus	1,047 Chinese Han cases, 1,205 Chinese Han controls	5E-12	1.25	0.26	PRDM1, ATG5	1.22393668511	0.00223998159498	0.00195141645919	3.11202281483	0.0139574028522	1.21710694192	0.00288495101441	exm568967	0.00195141645919	3.11202281483	0.0264615543165	[[11269, 10951, 2703], [178, 191, 68]]	[[24835, 90, 1], [432, 5, 0]]	[[11314, 10907, 2702], [180, 189, 68]]
rs610604	pheno_696.4	6	Psoriasis	1,359 cases, 1,400 controls	9E-12	1.19	0.32	TNFAIP3	1.17498670869	0.0166936160132	5.05765729314e-05	30.6520618557	0.00902804464684	1.17498670869	0.0166936160132	exm581589	5.05765729314e-05	30.6520618557	0.0474984815062	[[11013, 10317, 2506], [164, 173, 53]]	[[23786, 2], [388, 1]]	[[11013, 10317, 2506], [164, 173, 53]]
rs9277554	pheno_446.4	6	Wegener's granulomatosis	459 European ancestry cases, 1,503 European ancestry controls	2E-50	4.17	0.708	HLA-DPB1, HLA-DPB2, HSD17B8, RING1, COL11A2, RXRB, HLA-DOA, HLA-DPB1*04	0.521666658523	1.53877880871e-05	0.0492139899687	0.162855839546	0.000214538146435	0.579539053835	0.000333667194912	exm-rs9380343,exm537446,exm-rs2068204,exm537454,exm-rs6937034	0.0354041865787,0.0326200329733,0.0348105525271,0.0332436069987,0.0296759866761	0.113468824341,0.252323324333,0.116003759474,0.247894680738,0.135363525035	0.00408929937484,0.0271485158099,0.00390488059751,0.0272595133728,0.0117515638922	[[11495, 10226, 2310], [82, 29, 8]]	[[21715, 2268, 55], [117, 2, 0]]	[[13046, 8723, 2262], [84, 27, 8]]
rs6465657	pheno_185	7	Prostate cancer	1,854 cases, 1,894 controls	1E-9	1.12	0.46	LMTK2	1.11565067066	0.00207581353094	0.00264372074226	1.97793919828	0.0130035663593	1.11103440101	0.00291443757058	exm636509	0.00264372074226	1.97793919828	0.0302171235505	[[2870, 4780, 2029], [432, 794, 380]]	[[9625, 49, 0], [1585, 16, 0]]	[[2892, 4758, 2029], [439, 787, 380]]
