snp_name	pheno	Chr	Trait	Sample Size	pval_rep	OR_rep	Gene_rep	maf_common	cmb_odds_ratio	cmn_p_val	rare_snps	rare_snps_mafs	rare_snps_pvals	rare_snps_ors	A_cmb
rs1913517	pheno_695.42	10	Systemic lupus erythematosus	1,047 Chinese Han cases, 1,205 Chinese Han controls	7E-12	1.24	LRRC18, WDFY4	0.29	1.66272658965	0.00621154569207	exm823479,exm823531	0.00228786757284,0.0205262803688	2.67495133519,1.66441183902	0.0448391264783,0.0109011762419	[[23922, 992, 8], [408, 29, 0]]
rs907611	pheno_555	11	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	3E-10	1.07	TNNI2,LSP1	0.315	34.3117932149	0.00116718199599	exm877513	0.000168276511964	34.3117932149	0.00465308220339	[[21239, 2], [619, 2]]
rs907611	pheno_555.2	11	Ulcerative colitis	6,687 European ancestry cases, 19,718 European ancestry controls	1E-10	1.08	LSP1	0.32	30.8677325581	0.000767184952517	exm877513,exm877578	0.000168276511964,8.41127784133e-05	30.7811594203,30.7913043478	0.047320063509,0.047304970451	[[21237, 4], [344, 2]]
rs4246215	pheno_555	11	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	2E-15	1.08	C11orf9,FADS1,FADS2	0.338	5.49407758365	0.000243404708085	exm916753,exm916700	0.000471031559114,0.000672902227306	5.72545846818,5.291609525	0.0207105170458,0.00981995968212	[[21204, 44], [614, 7]]
rs4963128	pheno_695.42	11	Systemic lupus erythematosus	720 female cases,2,337 female controls	3E-10	1.28	KIAA1542	0.34	3.90757226644	0.0215615482977	exm871741	0.000908784920902	3.90757226644	0.0472068518481	[[24873, 44], [434, 3]]
rs102275	pheno_555.1	11	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	2E-11	1.08	FADS1	0.341	7.40345368917	0.00113552240001	exm916700	0.000672902227306	7.40345368917	0.00313778767016	[[21222, 26], [441, 4]]
rs7934606	pheno_504.1	11	Interstitial lung disease	1,161 European ancestry cases, 4,683 European ancestry controls	7E-34	1.52	MUC2	0.42	73.1992753623	0.00252911944732	exm874404	8.42232927939e-05	73.1992753623	0.0203587083714	[[20203, 2], [138, 1]]
rs5219	pheno_250.2	11	Type 2 diabetes	1,161 cases,1,174 controls	7E-11	1.14	KCNJ11	0.46	1.14014886437	0.0101514981482	exm893246	0.039836740201	1.14014886437	0.0203629837514	[[19830, 1601, 48], [4252, 410, 4]]
rs1801516	pheno_172.11	11	Melanoma	2,804 European ancestry cases, 7,618 European ancestry controls	3E-9	1.19	ATM	0.87	0.168726651649	0.00850063610194	exm953775	0.00267523639668	0.168726651649	0.0488762115437	[[23938, 135, 1], [1038, 1, 0]]
rs1385374	pheno_695.42	12	Systemic lupus erythematosus	1,656 Han Chinese cases, 3,394 Han Chinese controls	8E-8	1.41	SLC15A4	0.17	2.43625259025	0.00919718355747	exm1050848	0.00435704192181	2.43625259025	0.0150844222007	[[24717, 206, 3], [428, 9, 0]]
rs11171747	pheno_709.3	12	Systemic sclerosis	2,296 European ancestry cases, 5,172 European ancestry controls	6E-8	1.23	RPL41, ESYT1	0.39	3.3537625276	0.0173048615152	exm1012527	0.00296196566813	3.3537625276	0.0349852614292	[[24608, 143, 1], [201, 4, 0]]
rs1800693	pheno_571.6	12	Primary biliary cirrhosis	2,774 European ancestry cases, 9,814 European ancestry controls	2E-9	1.22	TNFRSF1A	0.4	5.28745940931	0.000550253288672	exm977148,exm977267,exm977097	0.00205754376497,0.000514085955172,0.000100935334096	5.18415465415,8.8777173913,24.5759493671	0.00358456229833,0.0246238128477,0.0495444467744	[[22739, 114, 1], [220, 6, 0]]
rs8017161	pheno_571.6	14	Primary biliary cirrhosis	2,774 European ancestry cases, 9,814 European ancestry controls	3E-13	1.22	TNFAIP2	0.4	2.75295522388	0.00943831185737	exm1129650	0.00557922499493	2.75295522388	0.0166987738831	[[22932, 248, 1], [231, 7, 0]]
rs2066847	pheno_555.1	16	Crohn's disease	3,230 cases4,829 controls	3E-24	3.99	NOD2	0.02	2.76631685596	3.96650873925e-05	exm1239990,exm1239878,exm1239871	0.00119440145347,0.00711641991925,0.000386918780701	3.76986350096,2.24777777778,8.47657705616	0.0262022893569,0.0073066403781,0.007540064256	[[20881, 364, 2], [425, 19, 1]]
rs1805007	pheno_172.21	16	Basal cell carcinoma	2,045 European ancestry cases, 6,013 European ancestry controls	4E-17	1.55	MC1R	0.07	1.96207953085	0.025462702055	exm1272357	0.0108691994481	1.96207953085	0.0431368568503	[[23569, 506, 1], [234, 10, 0]]
rs258322	pheno_172.11	16	Melanoma	1,539 European ancestry cases, 3,917 European ancestry controls	3E-27	1.67	MC1R	0.09	1.72897259158	1.19204641126e-05	exm1271443,exm1271432	0.0225505179148,0.000302856950567	1.67799682666,5.80670849421	8.20025439909e-05,0.0221343303532	[[22809, 1031, 6], [946, 74, 1]]
