"SNP","Lab_name","best_measure","best_P","best_OR_Beta","catalog_assoc_SNP","catalog_assoc_gene","CHR","MapInfo","gene","rsID","cases","eh_case","el_case","Mutation","MAF_W","mean_Beta","mean_P","median_Beta","median_P","first_Beta","first_P","min_Beta","min_P","max_Beta","max_P","ever_low_OR","ever_low_P","ever_high_OR","ever_high_P","Lab_cat","Lab_full_name","lab_name","cID","SNP","PUBMEDID","Study","Disease_Trait","Initial_Sample_Size","Replication_Sample_Size","Region","Chr","Chr_pos","Reported_Gene","Mapped_gene","Upstream_gene_id","Downstream_gene_id","Strongest_SNP","SNPs","Snp_id_current","Context","Intergenic","Risk_Allele_Frequency","p_value","Pvalue_mog","p_value_text","OR_or_beta_text","OR_or_beta","CI_95","Platform","CNV","tID","Date_Added_to_Catalog","continuous_trait","GWS"
"rs887829","TBil","ever_high",3.042e-267,2.291,"Bilirubin levels || Metabolite levels (Bilirubin) || Cholelithiasis-related traits in sickle cell anemia || Metabolic traits (SM-4 + 74 other traits)",NULL,2,234668570,"UGT1A8, etc.","rs887829",23076,5602,1620,"Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent",0.31700000,0.1599,7.257e-81,0.16,2.035e-94,0.1573,9.751e-46,0.1122,2.59e-183,0.2145,7.785e-16,0.55,7.354e-42,2.29,3.042e-267,"LiverPanel","BILIRUBIN TOTAL BLOOD","TBil",2223,"rs887829",23642732,"Association of SNPs in the UGT1A gene cluster with total bilirubin and mortality in the Diabetes Heart Study.","Bilirubin levels","1,180 European ancestry individuals from ~475 families",NULL,"2q37.1",2,234668570,"UGT1A","UGT1A10;UGT1A8;UGT1A7;UGT1A6;UGT1A5;UGT1A9;UGT1A4;UGT1A1;UGT1A3",NULL,NULL,"rs887829-T","rs887829",887829,"intron;intron;intron;intron;intron;intron;intron;nearGene-5;intron",0,0.312,9E-20,19.0458,"","NR",NULL,"NR","Illumina & Affymetrix [371,951]","N",272,"2013-09-07",1,1
"rs887829","TBil","ever_high",3.042e-267,2.291,"Bilirubin levels || Metabolite levels (Bilirubin) || Cholelithiasis-related traits in sickle cell anemia || Metabolic traits (SM-4 + 74 other traits)",NULL,2,234668570,"UGT1A8, etc.","rs887829",23076,5602,1620,"Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent",0.31700000,0.1599,7.257e-81,0.16,2.035e-94,0.1573,9.751e-46,0.1122,2.59e-183,0.2145,7.785e-16,0.55,7.354e-42,2.29,3.042e-267,"LiverPanel","BILIRUBIN TOTAL BLOOD","TBil",9383,"rs887829",22085899,"UGT1A1 is a major locus influencing bilirubin levels in African Americans.","Bilirubin levels","619 African American individuals","NR","2q37.1",2,234668570,"UGT1A1","UGT1A10;UGT1A8;UGT1A7;UGT1A6;UGT1A5;UGT1A9;UGT1A4;UGT1A1;UGT1A3",NULL,NULL,"rs887829-T","rs887829",887829,"intron;intron;intron;intron;intron;intron;intron;nearGene-5;intron",0,0.45,2E-22,21.699,"",.23,0.23,"[0.183-0.270] unit increase","Affymetrix [808,465]","N",272,"2011-12-17",1,1
"rs887829","TBil","ever_high",3.042e-267,2.291,"Bilirubin levels || Metabolite levels (Bilirubin) || Cholelithiasis-related traits in sickle cell anemia || Metabolic traits (SM-4 + 74 other traits)",NULL,2,234668570,"UGT1A8, etc.","rs887829",23076,5602,1620,"Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent",0.31700000,0.1599,7.257e-81,0.16,2.035e-94,0.1573,9.751e-46,0.1122,2.59e-183,0.2145,7.785e-16,0.55,7.354e-42,2.29,3.042e-267,"LiverPanel","BILIRUBIN TOTAL BLOOD","TBil",15192,"rs887829",19419973,"Common variants in the SLCO1B3 locus are associated with bilirubin levels and unconjugated hyperbilirubinemia.","Bilirubin levels","4,300 individuals","2,692 individuals","2q37.1",2,234668570,"UGT1A1","UGT1A10;UGT1A8;UGT1A7;UGT1A6;UGT1A5;UGT1A9;UGT1A4;UGT1A1;UGT1A3",NULL,NULL,"rs887829-T","rs887829",887829,"intron;intron;intron;intron;intron;intron;intron;nearGene-5;intron",0,0.30,1E-69,69,"",.57,0.57,"[0.50-0.63] s.d. decrease","Affymetrix [362,129]","N",272,"2009-05-19",1,1
"rs887829","TBil","ever_high",3.042e-267,2.291,"Bilirubin levels || Metabolite levels (Bilirubin) || Cholelithiasis-related traits in sickle cell anemia || Metabolic traits (SM-4 + 74 other traits)",NULL,2,234668570,"UGT1A8, etc.","rs887829",23076,5602,1620,"Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent",0.31700000,0.1599,7.257e-81,0.16,2.035e-94,0.1573,9.751e-46,0.1122,2.59e-183,0.2145,7.785e-16,0.55,7.354e-42,2.29,3.042e-267,"LiverPanel","BILIRUBIN TOTAL BLOOD","TBil",2223,"rs887829",23642732,"Association of SNPs in the UGT1A gene cluster with total bilirubin and mortality in the Diabetes Heart Study.","Bilirubin levels","1,180 European ancestry individuals from ~475 families",NULL,"2q37.1",2,234668570,"UGT1A","UGT1A10;UGT1A8;UGT1A7;UGT1A6;UGT1A5;UGT1A9;UGT1A4;UGT1A1;UGT1A3",NULL,NULL,"rs887829-T","rs887829",887829,"intron;intron;intron;intron;intron;intron;intron;nearGene-5;intron",0,0.312,9E-20,19.0458,"","NR",NULL,"NR","Illumina & Affymetrix [371,951]","N",272,"2013-09-07",1,1
"rs887829","TBil","ever_high",3.042e-267,2.291,"Bilirubin levels || Metabolite levels (Bilirubin) || Cholelithiasis-related traits in sickle cell anemia || Metabolic traits (SM-4 + 74 other traits)",NULL,2,234668570,"UGT1A8, etc.","rs887829",23076,5602,1620,"Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent",0.31700000,0.1599,7.257e-81,0.16,2.035e-94,0.1573,9.751e-46,0.1122,2.59e-183,0.2145,7.785e-16,0.55,7.354e-42,2.29,3.042e-267,"LiverPanel","BILIRUBIN TOTAL BLOOD","TBil",9383,"rs887829",22085899,"UGT1A1 is a major locus influencing bilirubin levels in African Americans.","Bilirubin levels","619 African American individuals","NR","2q37.1",2,234668570,"UGT1A1","UGT1A10;UGT1A8;UGT1A7;UGT1A6;UGT1A5;UGT1A9;UGT1A4;UGT1A1;UGT1A3",NULL,NULL,"rs887829-T","rs887829",887829,"intron;intron;intron;intron;intron;intron;intron;nearGene-5;intron",0,0.45,2E-22,21.699,"",.23,0.23,"[0.183-0.270] unit increase","Affymetrix [808,465]","N",272,"2011-12-17",1,1
"rs887829","TBil","ever_high",3.042e-267,2.291,"Bilirubin levels || Metabolite levels (Bilirubin) || Cholelithiasis-related traits in sickle cell anemia || Metabolic traits (SM-4 + 74 other traits)",NULL,2,234668570,"UGT1A8, etc.","rs887829",23076,5602,1620,"Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent",0.31700000,0.1599,7.257e-81,0.16,2.035e-94,0.1573,9.751e-46,0.1122,2.59e-183,0.2145,7.785e-16,0.55,7.354e-42,2.29,3.042e-267,"LiverPanel","BILIRUBIN TOTAL BLOOD","TBil",15192,"rs887829",19419973,"Common variants in the SLCO1B3 locus are associated with bilirubin levels and unconjugated hyperbilirubinemia.","Bilirubin levels","4,300 individuals","2,692 individuals","2q37.1",2,234668570,"UGT1A1","UGT1A10;UGT1A8;UGT1A7;UGT1A6;UGT1A5;UGT1A9;UGT1A4;UGT1A1;UGT1A3",NULL,NULL,"rs887829-T","rs887829",887829,"intron;intron;intron;intron;intron;intron;intron;nearGene-5;intron",0,0.30,1E-69,69,"",.57,0.57,"[0.50-0.63] s.d. decrease","Affymetrix [362,129]","N",272,"2009-05-19",1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",9384,"rs4781563",22085899,"UGT1A1 is a major locus influencing bilirubin levels in African Americans.","Bilirubin levels","619 African American individuals","NR","16p13.12",16,14045399,"ERCC4","ERCC4",NULL,NULL,"rs4781563-A","rs4781563",4781563,"UTR-3",0,0.156,2E-6,5.69897,"",.16,0.16,"[0.097-0.229] unit decrease","Affymetrix [808,465]","N",272,"2011-12-17",1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",9385,"rs10155981",22085899,"UGT1A1 is a major locus influencing bilirubin levels in African Americans.","Bilirubin levels","619 African American individuals","NR","7p15.3",7,22756463,"AC073072.5","EEF1A1P6 - IL6",221838,3569,"rs10155981-T","rs10155981",10155981,"Intergenic",1,0.418,2E-7,6.69897,"",.13,0.13,"[0.079-0.173] unit increase","Affymetrix [808,465]","N",272,"2011-12-17",1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",9386,"rs11208446",22085899,"UGT1A1 is a major locus influencing bilirubin levels in African Americans.","Bilirubin levels","619 African American individuals","NR","1p31.3",1,64868352,"RNU7-62P","UBE2U - MIR4794",148581,100616338,"rs11208446-A","rs11208446",11208446,"Intergenic",1,0.275,9E-6,5.04576,"",.12,0.12,"[0.067-0.172] unit increasee","Affymetrix [808,465]","N",272,"2011-12-17",1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",9387,"rs11843309",22085899,"UGT1A1 is a major locus influencing bilirubin levels in African Americans.","Bilirubin levels","619 African American individuals","NR","13q21.33",13,70454960,"KLHL1","KLHL1",NULL,NULL,"rs11843309-T","rs11843309",11843309,"intron",0,0.062,7E-6,5.1549,"",.21,0.21,"[0.12-0.304] unit increase","Affymetrix [808,465]","N",272,"2011-12-17",1,0
