ind	SNP	pheno	maf	prev	table	minN	logit_OR	logit_p-val	exact_OR	exact_p-val	bayes factor
7	exm41	pheno_038	1.447e-03	7.407e-02	[[24889, 73], [1991, 6]]	6.000e+00	1.008e+00	9.851e-01	1.027e+00	4.278e-01	1.00
8	exm41	pheno_038.1	1.447e-03	1.062e-02	[[24889, 73], [266, 2]]	2.000e+00	2.460e+00	2.116e-01	2.563e+00	9.436e-02	1.57
9	exm41	pheno_038.2	1.447e-03	8.027e-03	[[24889, 73], [201, 1]]	1.000e+00	1.666e+00	6.130e-01	1.696e+00	1.962e-01	1.08
10	exm41	pheno_038.3	1.447e-03	4.430e-02	[[24889, 73], [1152, 5]]	5.000e+00	1.443e+00	4.295e-01	1.480e+00	1.817e-01	1.33
11	exm41	pheno_041	1.447e-03	1.027e-01	[[24889, 73], [2846, 10]]	1.000e+01	1.194e+00	5.999e-01	1.198e+00	2.744e-01	1.15
12	exm41	pheno_041.1	1.447e-03	4.323e-02	[[24889, 73], [1125, 3]]	3.000e+00	8.861e-01	8.380e-01	9.092e-01	1.066e-01	1.01
13	exm41	pheno_041.11	1.447e-03	2.029e-02	[[24889, 73], [516, 1]]	1.000e+00	6.471e-01	6.661e-01	6.607e-01	6.450e-02	1.13
15	exm41	pheno_041.2	1.447e-03	2.229e-02	[[24889, 73], [566, 3]]	3.000e+00	1.776e+00	3.309e-01	1.807e+00	1.432e-01	1.41
16	exm41	pheno_041.4	1.447e-03	2.336e-02	[[24889, 73], [595, 2]]	2.000e+00	1.184e+00	8.141e-01	1.146e+00	3.360e-01	1.02
18	exm41	pheno_041.9	1.447e-03	1.809e-02	[[24889, 73], [459, 1]]	1.000e+00	7.335e-01	7.585e-01	7.428e-01	9.143e-02	1.06
19	exm41	pheno_053	1.447e-03	1.336e-02	[[24381, 70], [330, 1]]	1.000e+00	1.046e+00	9.644e-01	1.055e+00	3.485e-01	1.00
20	exm41	pheno_053.1	1.447e-03	3.261e-03	[[24381, 70], [79, 1]]	1.000e+00	4.394e+00	1.460e-01	4.409e+00	6.279e-02	1.42
21	exm41	pheno_054	1.447e-03	8.153e-03	[[24381, 70], [200, 1]]	1.000e+00	1.812e+00	5.564e-01	1.742e+00	1.900e-01	1.09
22	exm41	pheno_070	1.447e-03	3.226e-02	[[24381, 70], [812, 2]]	2.000e+00	8.582e-01	8.316e-01	8.579e-01	1.040e-01	1.03
23	exm41	pheno_070.2	1.447e-03	3.870e-03	[[24381, 70], [94, 1]]	1.000e+00	3.670e+00	1.996e-01	3.705e+00	7.671e-02	1.36
24	exm41	pheno_070.3	1.447e-03	1.744e-02	[[24381, 70], [431, 2]]	2.000e+00	1.614e+00	5.063e-01	1.616e+00	1.968e-01	1.17
29	exm41	pheno_079	1.447e-03	3.026e-02	[[24381, 70], [762, 1]]	1.000e+00	4.988e-01	4.936e-01	4.571e-01	1.445e-02	1.69
31	exm41	pheno_080	1.447e-03	3.394e-02	[[26847, 78], [945, 1]]	1.000e+00	3.628e-01	3.139e-01	3.642e-01	3.824e-03	2.77
32	exm41	pheno_081	1.447e-03	3.695e-02	[[26847, 78], [1028, 5]]	5.000e+00	1.661e+00	2.732e-01	1.674e+00	1.317e-01	1.58
33	exm41	pheno_090	1.447e-03	1.181e-03	[[29511, 84], [34, 1]]	1.000e+00	1.030e+01	2.244e-02	1.033e+01	2.476e-02	1.69
34	exm41	pheno_110	1.447e-03	3.502e-02	[[25635, 74], [929, 4]]	4.000e+00	1.480e+00	4.478e-01	1.492e+00	1.924e-01	1.27
35	exm41	pheno_110.1	1.447e-03	3.302e-02	[[25635, 74], [874, 4]]	4.000e+00	1.576e+00	3.794e-01	1.585e+00	1.676e-01	1.35
36	exm41	pheno_110.11	1.447e-03	2.458e-02	[[25635, 74], [645, 3]]	3.000e+00	1.589e+00	4.355e-01	1.611e+00	1.791e-01	1.27
40	exm41	pheno_112	1.447e-03	3.411e-02	[[25635, 74], [905, 3]]	3.000e+00	1.166e+00	7.947e-01	1.148e+00	3.381e-01	1.03
61	exm41	pheno_153	1.447e-03	4.134e-02	[[24370, 72], [1052, 2]]	2.000e+00	6.582e-01	5.623e-01	6.435e-01	2.664e-02	1.29
62	exm41	pheno_153.2	1.447e-03	3.528e-02	[[24370, 72], [892, 2]]	2.000e+00	7.752e-01	7.243e-01	7.589e-01	6.210e-02	1.09
63	exm41	pheno_153.3	1.447e-03	1.926e-02	[[24370, 72], [479, 1]]	1.000e+00	7.271e-01	7.525e-01	7.066e-01	7.926e-02	1.09
66	exm41	pheno_157	1.447e-03	8.602e-03	[[25276, 77], [219, 1]]	1.000e+00	1.532e+00	6.729e-01	1.499e+00	2.282e-01	1.05
67	exm41	pheno_158	1.447e-03	9.416e-03	[[25276, 77], [238, 3]]	3.000e+00	4.156e+00	1.648e-02	4.138e+00	2.971e-02	3.26
68	exm41	pheno_159	1.447e-03	1.778e-02	[[25276, 77], [457, 2]]	2.000e+00	1.454e+00	6.032e-01	1.437e+00	2.368e-01	1.10
69	exm41	pheno_159.2	1.447e-03	5.335e-03	[[25276, 77], [135, 1]]	1.000e+00	2.473e+00	3.708e-01	2.432e+00	1.264e-01	1.20
73	exm41	pheno_165	1.447e-03	4.352e-02	[[27873, 80], [1269, 3]]	3.000e+00	8.516e-01	7.866e-01	8.237e-01	6.361e-02	1.06
74	exm41	pheno_165.1	1.447e-03	4.284e-02	[[27873, 80], [1248, 3]]	3.000e+00	8.659e-01	8.083e-01	8.375e-01	6.980e-02	1.05
75	exm41	pheno_170	1.447e-03	2.399e-02	[[28514, 84], [702, 1]]	1.000e+00	4.825e-01	4.692e-01	4.836e-01	1.907e-02	1.55
77	exm41	pheno_170.2	1.447e-03	1.542e-02	[[28514, 84], [447, 1]]	1.000e+00	7.569e-01	7.821e-01	7.594e-01	9.723e-02	1.05
78	exm41	pheno_172	1.447e-03	1.130e-01	[[24008, 69], [3061, 7]]	7.000e+00	8.318e-01	6.500e-01	7.957e-01	3.060e-01	1.20
79	exm41	pheno_172.1	1.447e-03	4.747e-02	[[24008, 69], [1197, 3]]	3.000e+00	8.894e-01	8.437e-01	8.720e-01	8.631e-02	1.03
80	exm41	pheno_172.11	1.447e-03	4.137e-02	[[24008, 69], [1036, 3]]	3.000e+00	1.026e+00	9.661e-01	1.008e+00	4.263e-01	1.00
81	exm41	pheno_172.2	1.447e-03	8.372e-02	[[24008, 69], [2195, 5]]	5.000e+00	8.362e-01	7.056e-01	7.926e-01	3.466e-01	1.15
