snp_name	pheno	Trait	Sample Size	pval_rep	OR_rep	Gene_rep	maf_common	cmb_odds_ratio	cmn_p_val	rare_snps	rare_snps_mafs	rare_snps_pvals	rare_snps_ors	A_cmb
rs4698775	pheno_362.2	Age-related macular degeneration	6,713 European ancestry cases, 48,402 European ancestry contols, 110 Southern Indian ancestry cases, 119 Southern Indian ancestry controls, 827 Japanese ancestry cases, 3,323 Japanese ancestry controls	7E-11	1.14	CFI	0.31	2.79998306376	0.0226831687098	exm418323	0.00114401076716	2.79998306376	0.0404088701514	[[26425, 54, 1], [841, 5, 0]]
rs1713985	pheno_362.2	Age-related macular degeneration	827 Japanese ancestry cases, 3,323 Japanese ancestry controls	2E-8	1.30	REST, C4orf14, POLR2B, IGFBP7	0.29	1.26456956172	0.0223780572215	exm2256654	0.0400498098475	1.26456956172	0.0434513960822	[[24412, 2021, 41], [762, 82, 1]]
rs11248060	pheno_332	Parkinson's disease	2,197 cases, 2,061 controls	3E-12	1.21	GAK, DGKQ	0.12	8.1931283906	0.00236482261103	exm379811,exm379651	0.000773941718824,8.41127784133e-05	5.94984243697,31.6429567643	0.0491572290537,0.0412147065214	[[22654, 35], [237, 3]]
rs6599389	pheno_332	Parkinson's disease	3,426 cases, 29,624 controls	4E-8	1.31	GAK	0.075	8.1931283906	0.00236482261103	exm379811,exm379651	0.000773941718824,8.41127784133e-05	5.94984243697,31.6429567643	0.0491572290537,0.0412147065214	[[22654, 35], [237, 3]]
rs6599388	pheno_332	Parkinson's disease	5,333 European ancestry cases, 12,019 European ancestry controls	4E-12	1.16	GAK	0.31	8.1931283906	0.00236482261103	exm379811,exm379651	0.000773941718824,8.41127784133e-05	5.94984243697,31.6429567643	0.0491572290537,0.0412147065214	[[22654, 35], [237, 3]]
rs6831256	pheno_272.11	Cholesterol, total	94,595 Euroepan ancestry individuals	1E-10	0.03	LRPAP1	0.42	0.290557894737	0.000212248912249	exm384642	0.002281176073	0.290557894737	0.000689176235782	[[18402, 100], [3800, 6]]
rs17021918	pheno_185	Prostate cancer	1,854 European ancestry cases, 1,894 European ancestry controls	4E-15	1.11	PDLIM5	0.65	1.51193842287	0.0282148315772	exm414390,exm414362	0.00625820127183,0.00587166459168	1.56642430771,1.66085328604	0.0388253113905,0.0226446608691	[[9567, 116, 0], [1577, 29, 0]]
rs12500426	pheno_185	Prostate cancer	1,854 European ancestry cases, 1,894 European ancestry controls	1E-11	1.08	PDLIM5	0.46	1.66085328604	0.011927925059	exm414362	0.00587166459168	1.66085328604	0.0226446608691	[[9581, 102, 0], [1578, 28, 0]]
rs3774959	pheno_555.2	Ulcerative colitis	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	4E-12	1.12	NFKB1,MANBA	0.358	10.315840622	0.00132990720762	exm416053	0.000504693650954	10.315840622	0.00437814968424	[[21230, 18], [343, 3]]
rs4253399	pheno_452	Venous thromboembolism	1,618 European ancestry cases, 42,881 European ancestry controls	3E-14	1.24	F11	0.61	2.98408014973	0.013455634958	exm438115	0.000706571111335	2.98408014973	0.0234264708959	[[22587, 31], [1465, 6]]
rs6536024	pheno_452	Venous thromboembolism	1,618 European ancestry cases, 42,881 European ancestry controls	2E-13	1.25	FGG	0.42	3.52762425544	0.00222427649969	exm430529	0.000824471665096	3.52762425544	0.0040520771491	[[22579, 35], [1463, 8]]
rs7659024	pheno_452	Venous thromboembolism	1,542 European ancestry cases, 1,110 European ancestry controls	2E-13	1.53	FGG, FGA	0.25	4.36039690903	9.00802016626e-05	exm430529,exm430467	0.000824471665096,0.000168248199744	3.52762425544,11.5519414169	0.0040520771491,0.00660520309392	[[22571, 39], [1460, 11]]
rs3756008	pheno_452	Venous thromboembolism	1,542 European ancestry cases, 1,110 European ancestry controls	6E-11	1.40	F11	0.44	2.98408014973	0.013455634958	exm438115	0.000706571111335	2.98408014973	0.0234264708959	[[22587, 31], [1465, 6]]
rs3755955	pheno_743	Bone mineral density	Up to 32,961 European and East Asian ancestry individuals	5E-15	0.06	IDUA	0.16	0.451349682646	7.40049060807e-05	exm379995,exm380218	0.00232864230029,0.00215444691308	0.47000338597,0.427749342753	0.0123281885336,0.0113511988947	[[22734, 221, 2], [4489, 20, 0]]
rs17021463	pheno_187.2	Testicular germ cell tumor	582 European ancestry male cases, 1,056 European ancestry male controls	1E-8	1.19	HPGDS, SMARCAD1	0.42	103.368421053	0.00153332523487	exm414240	0.000100996498788	103.368421053	0.0146203869823	[[11784, 2], [57, 1]]
rs6842241	pheno_433.5	Intracranial aneurysm	1,383 Japanese ancestry cases, 5,484 Japanese ancestry controls	1E-8	1.25	EDNRA	0.694	41.3238255034	0.00423272479274	exm427449	8.41269307131e-05	41.3238255034	0.029900942591	[[24629, 4], [149, 1]]
rs13139571	pheno_401	Diastolic blood pressure	69,395 European ancestry individuals	2E-10	0.26	GUCY1A3, GUCY1B3	0.76	0.422822875022	0.0126077921681	exm430874	0.000605612004576	0.422822875022	0.0422915222134	[[14586, 18, 2], [12548, 8, 0]]
