"cID","SNP","PUBMEDID","Study","Disease_Trait","Initial_Sample_Size","Replication_Sample_Size","Region","Chr","Chr_pos","Reported_Gene","Mapped_gene","Upstream_gene_id","Downstream_gene_id","Strongest_SNP","SNPs","Snp_id_current","Context","Intergenic","Risk_Allele_Frequency","p_value","Pvalue_mog","p_value_text","OR_or_beta_text","OR_or_beta","CI_95","Platform","CNV","tID","Date_Added_to_Catalog","continuous_trait","GWS","tID","trait","match_available","jd_code","lab_available","lab_name","good_match"
5082,"rs4959053",23001997,"Identification of a susceptibility locus in STAT4 for Beh&#x000e7;et's disease in Han Chinese in a genome-wide association study.","Behcet's disease","147 Han Chinese cases, 951 Han Chinese controls","554 Han Chinese cases, 1,159 Han Chinese controls","6p21.33",6,31099577,"PSORS1C1","PSORS1C1",NULL,NULL,"rs4959053-?","rs4959053",4959053,"intron",0,.11,2E-20,19.699,"",4.38,4.38,"[3.20-5.99]","Affyemtrix [661,736]","N",263,"2012-12-16",0,1,1431,"Behcet's disease",1,711.3,NULL,NULL,NULL
7566,"rs2230199",22705344,"Heritability and genome-wide association study to assess genetic differences between advanced age-related macular degeneration subtypes.","Age-related macular degeneration (GA)","819 European ancestry GA cases, 4,134 European ancestry controls",NULL,"19p13.3",19,6718387,"C3","C3",NULL,NULL,"rs2230199-C","rs2230199",2230199,"missense",0,.19,5E-13,12.301,"",1.83,1.83,"[1.56-2.14]","Affymetrix & Illumina [6,036,699] (imputed)","N",101,"2012-08-15",0,1,36,"Age-related macular degeneration (GA)",1,362.2,NULL,NULL,NULL
7565,"rs10490924",22705344,"Heritability and genome-wide association study to assess genetic differences between advanced age-related macular degeneration subtypes.","Age-related macular degeneration (GA)","819 European ancestry GA cases, 4,134 European ancestry controls",NULL,"10q26.13",10,124214448,"ARMS2, HTRA1","ARMS2",NULL,NULL,"rs10490924-T","rs10490924",10490924,"missense",0,.206,7E-47,46.1549,"",2.52,2.52,"[2.24-2.83]","Affymetrix & Illumina [6,036,699] (imputed)","N",101,"2012-08-15",0,1,36,"Age-related macular degeneration (GA)",1,362.2,NULL,NULL,NULL
5083,"rs9266406",23001997,"Identification of a susceptibility locus in STAT4 for Beh&#x000e7;et's disease in Han Chinese in a genome-wide association study.","Behcet's disease","147 Han Chinese cases, 951 Han Chinese controls","554 Han Chinese cases, 1,159 Han Chinese controls","6p21.33",6,31336418,"MICA, MICB, DHFRP2","DHFRP2 - FGFR3P1",729816,100462812,"rs9266406-?","rs9266406",9266406,"Intergenic",1,.40,2E-10,9.69897,"",2.29,2.29,"[1.77-2.95]","Affyemtrix [661,736]","N",263,"2012-12-16",0,1,1431,"Behcet's disease",1,711.3,NULL,NULL,NULL
7199,"rs4977756",22886559,"Genome-wide association study of glioma and meta-analysis.","Glioma","1,856 European ancestry cases, 4,955 European ancestry controls","5,015 European ancestry cases, 11,601 European ancestry controls","9p21.3",9,22068652,"CDKN2BAS","CDKN2B-AS1",NULL,NULL,"rs4977756-G","rs4977756",4977756,"intron",0,.423,1E-8,8,"",1.28,1.28,"[1.177-1.398]","Illumina [559,977]","N",919,"2012-10-09",0,1,1070,"Glioma",1,191.11,NULL,NULL,NULL
2179,"rs3213758",23678272,"Three new single nucleotide polymorphisms identified by a genome-wide association study in Korean patients with vitiligo.","Vitiligo (non-segmental)","20 Korean ancestry cases, 192 Korean ancestry controls","184 Korean ancestry cases, 192 Korean ancestry controls","16q12.2",16,53639438,"KIAA1005","RPGRIP1L",NULL,NULL,"rs3213758-A","rs3213758",3213758,"missense",0,.497,6E-11,10.2218,"",2.77,2.77,"[2.04-3.76]","Affymetrix [500,568]","N",2709,"2013-09-21",0,1,1949,"Vitiligo (non-segmental)",1,694.1,NULL,NULL,NULL
7200,"rs6010620",22886559,"Genome-wide association study of glioma and meta-analysis.","Glioma","1,856 European ancestry cases, 4,955 European ancestry controls","5,015 European ancestry cases, 11,601 European ancestry controls","20q13.33",20,62309839,"RTEL1,TNFRSF6B","RTEL1;RTEL1-TNFRSF6B",NULL,NULL,"rs6010620-G","rs6010620",6010620,"intron;intron",0,.771,1E-10,10,"",1.43,1.43,"[1.28-1.59]","Illumina [559,977]","N",919,"2012-10-09",0,1,1070,"Glioma",1,191.11,NULL,NULL,NULL
10549,"rs34637584",21738487,"Web-based genome-wide association study identifies two novel loci and a substantial genetic component for Parkinson's disease.","Parkinson's disease","3,426 cases, 29,624 controls","NR","12q12",12,40734202,"LRRK2","LRRK2",NULL,NULL,"rs34637584-A","rs34637584",34637584,"missense",0,0.002,2E-28,27.699,"",9.62,9.62,"[6.43-14.37]","Illumina [522,782]","N",1918,"2011-07-20",0,1,136,"Parkinson's disease",1,332,NULL,NULL,NULL
9848,"rs2734583",21912425,"A whole-genome association study of major determinants for allopurinol-related Stevens-Johnson syndrome and toxic epidermal necrolysis in Japanese patients.","Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)","14 Japanese ancestry cases, 991 Japanese ancestry controls","NR","6p21.33",6,31505480,"BAT1, HCP5, MICC, PPIAP9, PSORS1C1, POLR2LP, CCHCR1, TCF19, POU5F1, HLA-C, HCP5, PSORS1C3, HLA-B*5801","DDX39B;SNORD117;ATP6V1G2-DDX39B",NULL,NULL,"rs2734583-?","rs2734583",2734583,"intron;nearGene-5;intron",0,0.0055,2E-8,7.69897,"",66.80,66.80,"[19.8-225.0]","Illumina [890,321]","N",2506,"2011-10-07",0,1,1885,"Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)",1,695.1,NULL,NULL,NULL
6222,"rs75932628",23150908,"Variant of TREM2 associated with the risk of Alzheimer's disease.","Alzheimer's disease","3,550 Icelandic ancestry cases, 8,888 Icelandic ancestry controls","694 European ancestry cases, 4,375 European ancestry controls, 1,343 cases, 5,352 controls","6p21.1",6,41129252,"TREM2","TREM2",NULL,NULL,"rs75932628-T","rs75932628",75932628,"missense",0,0.0063,2E-12,11.699,"",2.90,2.90,"[2.16-3.91]","NR","N",146,"2014-02-13",0,1,292,"Alzheimer's disease",1,290.11,NULL,NULL,NULL
