SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs6025	pheno_452	1	Venous thromboembolism	1,503 European and other ancestry cases, 1,459 European and other ancestry controls	2E-22	3.57	0.063	F5	5.1358782095	0.0065264625744	0.000302887527765	0.00691651528956	exm122036	0.000302887527765	5.1358782095	0.0139515979361	[[22603, 12], [1467, 4]]
rs2476601	pheno_714.1	1	Rheumatoid arthritis	5,539 European ancestry cases, 20,169 European ancestry controls	9E-74	1.94	0.1	PTPN22	1.6947740113	0.0113931711265	0.00635956795316	0.0555568581964	exm85400	0.00635956795316	1.6947740113	0.019465152787	[[23998, 295], [1104, 23]]
rs6679677	pheno_714.1	1	Rheumatoid arthritis	3,393 cases,12,460 controls	6E-42	1.79	0.1	PTPN22	1.6947740113	0.0113931711265	0.00635956795316	0.0602124608386	exm85400	0.00635956795316	1.6947740113	0.019465152787	[[23998, 295], [1104, 23]]
rs1018827	pheno_452	1	Venous thromboembolism	1,542 European ancestry cases, 1,110 European ancestry controls	2E-26	2.52	0.12	F5, SLC19A2, NME7	5.1358782095	0.0065264625744	0.000302887527765	0.00514415824661	exm122036	0.000302887527765	5.1358782095	0.0139515979361	[[22603, 12], [1467, 4]]
rs3024505	pheno_555	1	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	7E-42	1.21	0.16	IL10,IL20,IL19,IL24,PIGR,MAPKAPK2,FAIM3,RASSF5	4.47410865874	2.12377320614e-05	0.00246322040761	0.0569251846802	exm143508,exm143549	0.00210281946033,0.000388041571062	3.75,8.57495948136	0.00121164549636,0.00807429878934	[[21082, 93], [608, 12]]
rs11552449	pheno_174.11	1	Breast cancer	10,052 European ancestry cases, 12,575 European ancestry controls	2E-8	1.07	0.17	PTPN22, BCL2L15, AP4B1, DCLRE1B, HIPK1	4.83187425388	0.0118994445363	0.000336462433969	0.00893757103955	exm2249697	0.000336462433969	4.83187425388	0.0224535006917	[[12139, 7, 0], [1434, 4, 0]]
rs3790567	pheno_571.6	1	Primary biliary cirrhosis	453 European ancestry cases, 945 European ancestry controls,	8E-12	1.48	0.232	IL12RB2	14.2446351931	7.62100953347e-05	0.00065727383039	0.0272676664023	exm67329	0.00065727383039	14.2446351931	0.000290593439736	[[23233, 28], [233, 4]]
rs4245739	pheno_174.11	1	Breast cancer	4,193 European ancestry cases, 35,194 European ancestry controls	2E-12	1.14	0.26	MDM4, PIK3C2B, LRRN2	6.34651567944	0.0148508011033	0.000285983446605	0.00612347647753	exm141087	0.000285983446605	6.34651567944	0.0298695057791	[[12143, 4], [1435, 3]]
rs1998598	pheno_555.1	1	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	9E-9	1.04	0.302	DENND1B	47.8536036036	0.00772953754355	3.36451113653e-05	0.00512620931761	exm134691	3.36451113653e-05	47.8536036036	0.0406071807699	[[21247, 1], [444, 1]]
rs7538876	pheno_172.21	1	Basal cell carcinoma	930 cases,33,117 controls	4E-12	1.28	0.35	PADI4, PADI6,RCC2, ARHGEF10L	1.84244365301	0.00416544357296	0.0263777673104	0.108481138307	exm23601	0.0263777673104	1.84244365301	0.00950312217441	[[22835, 1227, 16], [222, 21, 1]]
