snp_name	pheno	Trait	Sample Size	pval_rep	OR_rep	Gene_rep	maf_common	cmb_odds_ratio	cmn_p_val	rare_snps	rare_snps_mafs	rare_snps_pvals	rare_snps_ors	A_cmb
rs3897478	pheno_555.1	Crohn's disease	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	2E-11	1.16	ADAM30	0.891	7.98946576373	0.0106837155636	exm89394	0.000370096225019	7.98946576373	0.0324635226891	[[21236, 12], [443, 2]]
rs1831282	pheno_362.2	Age-related macular degeneration	1,207 European ancestry cases, 686 European ancestry controls	1E-31	2.38	CFH, CFHR4, CFHR5, KCNT2	0.55	9.93113645965	0.00848055893155	exm133428	0.000226380923634	9.93113645965	0.0260016596743	[[23507, 6], [789, 2]]
rs10737680	pheno_362.2	Age-related macular degeneration	6,713 European ancestry cases, 48,402 European ancestry contols, 110 Southern Indian ancestry cases, 119 Southern Indian ancestry controls, 827 Japanese ancestry cases, 3,323 Japanese ancestry controls	1E-434	2.43	CFH	0.64	9.93113645965	0.00848055893155	exm133428	0.000226380923634	9.93113645965	0.0260016596743	[[23507, 6], [789, 2]]
rs380390	pheno_362.2	Age-related macular degeneration	96 European ancestry cases,50 European ancestry controls	4E-8	4.60	CFH	0.7	9.93113645965	0.00848055893155	exm133428	0.000226380923634	9.93113645965	0.0260016596743	[[23507, 6], [789, 2]]
rs17367504	pheno_401	Systolic blood pressure	34,433 individuals	2E-13	0.85	MTHFR, NPPA, CLCN6, NPPB, AGTRAP	0.14	0.883259961237	0.0128272049781	exm15227	0.0244599959626	0.883259961237	0.0278129303701	[[13863, 731, 12], [11986, 565, 5]]
rs34372695	pheno_332	Parkinson's disease	5,333 European ancestry cases, 12,019 European ancestry controls	4E-12	1.47	SYT11	0.03	2.29196036367	0.00545344549895	exm108097,exm108145	0.0108194514555,8.41127784133e-05	2.10922911922,31.6429567643	0.0242379632471,0.0412147065214	[[22186, 500, 1], [230, 8, 2]]
rs629301	pheno_272.11	Cholesterol, total	94,595 Euroepan ancestry individuals	2E-170	0.13	SORT1	0.24	0.833824921555	0.0004239383482	exm80759,exm81076	0.0388432810713,0.0229964336182	0.834162587371,0.838333723923	0.0077647517252,0.0481548856368	[[16300, 2263, 32], [3424, 393, 5]]
rs646776	pheno_272.11	Cholesterol, total	22,562 individuals	9E-22	0.13	CELSR2	0.22	0.833824921555	0.0004239383482	exm80759,exm81076	0.0388432810713,0.0229964336182	0.834162587371,0.838333723923	0.0077647517252,0.0481548856368	[[16300, 2263, 32], [3424, 393, 5]]
rs3806308	pheno_555.2	Ulcerative colitis	1,022 cases, 2,503 controls	7E-9	1.28	RNF186	0.63	1.60333517021	0.0109766126748	exm26437	0.0265436049449	1.60333517021	0.0209220134907	[[20147, 1063, 14], [317, 28, 0]]
rs1967017	pheno_274.1	Urate levels	28,283 white individuals	4E-8	3.33	PDZK1	0.47	4.18540669856	0.02048175003	exm91970	0.000370108677366	4.18540669856	0.0443299215077	[[27992, 19], [1056, 3]]
