SNP	pheno	maf	PheWAS_MAF_W	prev	table	minN	jd_string	PheWAS_OR	PheWAS_P	logit_OR	logit_p-val	fisher_OR	fisher_pval	exact_OR	exact_p-val	pval_norm	bayes factor
exm1001583	pheno_528.12	5.955e-03	0.005954	1.052e-03	[[27206, 317, 1], [25, 3, 1]]	5.0	Oral aphthae	16.39	5.619e-09	14.57	1.276e-08	16.19	2.418e-05	16.19	5.637e-06	5.334e-09	35.13
exm1002571	pheno_747.2	2.704e-03	0.002703	3.517e-03	[[27790, 141], [92, 6]]	6	Congenital anomalies of peripheral vascular system	12.5	5.71e-09	12.26	7.511e-09	12.85	1.329e-05	12.85	3.560e-06	3.977e-09	58.13
exm1004207	pheno_603.2	1.565e-03	0.001565	2.692e-03	[[9602, 31], [23, 3]]	3	Spermatocele	41.77	7.917e-09	0.00	0.000e+00	40.40	9.804e-05	40.40	1.462e-05	1.195e-08	9.63
exm1008143	pheno_686.9	1.598e-03	0.001598	1.483e-02	[[24515, 69], [362, 8]]	8	Other/Unspecified specified local infections of skin and subcutaneous tissue	8.06	3.42e-08	7.88	4.467e-08	7.85	1.870e-05	7.85	6.701e-06	5.187e-08	91.87
exm1009556	pheno_446.8	1.296e-03	0.001295	1.619e-03	[[23981, 61, 1], [36, 3, 0]]	3.0	Thrombotic microangiopathy	24.05	1.054e-07	22.65	1.236e-07	30.49	1.737e-04	30.49	2.888e-05	2.930e-08	10.08
exm1018460	pheno_306.1	1.077e-03	0.001076	2.638e-03	[[10188, 15, 3], [24, 3, 0]]	3.0	Mental disorders durring/after pregnancy	24.71	1.344e-08	0.00	0.000e+00	57.12	3.379e-05	57.12	4.341e-06	3.190e-10	10.40
exm1018502	pheno_555.21	1.263e-03	0.001263	7.288e-03	[[21177, 43, 2], [151, 4, 1]]	6.0	Ulcerative colitis (chronic)	10.25	3.314e-08	10.16	3.062e-08	17.69	2.476e-06	17.69	5.919e-07	7.423e-11	73.93
exm1019383	pheno_281.11	6.662e-03	0.00666	1.054e-02	[[18815, 238, 1], [191, 12, 0]]	12.0	Pernicious anemia	5.82	1.951e-08	5.55	2.903e-08	4.81	1.741e-05	4.81	7.803e-06	1.671e-07	203.28
exm1019383	pheno_281.1	6.662e-03	0.00666	1.935e-02	[[18815, 238, 1], [359, 17, 0]]	17.0	Megaloblastic anemia	4.18	6.977e-08	4.10	6.607e-08	3.65	1.286e-05	3.65	6.709e-06	2.910e-07	381.40
exm1020021	pheno_722.9	1.397e-03	0.001396	1.930e-03	[[24235, 65], [44, 3]]	3	Other and unspecified disc disorder	26.4	9.782e-08	27.48	6.362e-08	25.42	3.094e-04	25.42	5.630e-05	2.027e-07	9.39
exm1021377	pheno_362.6	1.649e-03	0.001648	2.223e-03	[[26393, 86], [55, 4]]	4	Peripheral retinal degenerations	22.53	5.627e-09	22.72	3.954e-09	22.32	4.881e-05	22.32	9.713e-06	7.471e-09	19.71
exm10227	pheno_686.2	7.419e-03	0.007417	1.584e-03	[[24227, 357, 1], [33, 6, 0]]	6.0	Impetigo	11.17	3.718e-08	11.00	4.114e-08	11.33	2.607e-05	11.33	7.332e-06	1.967e-08	51.04
