"Chr","Chr_pos","SNP","jd_code","PUBMEDID","Disease_Trait","Reported_Gene","Mapped_gene","p_value","OR_or_beta_text","CI_95","Context","Risk_Allele_Frequency","Initial_Sample_Size","SNP","jd_code","jd_string","cases","controls","odds_ratio","P","CHR","BP","gene","rsID","Mutation","MAF_W","PHRED","catalog_assoc_SNP","catalog_assoc_gene","RawScore","Category","Category_string"
16,50763778,"rs2066847",555.1,23128233,"Crohn's disease","NOD2,ADCY7","NOD2",6E-209,3.10,"[1.497-1.618]","frameshift",0.024,"Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls","rs2066847",555.1,"Regional enteritis",445,21248,2.59,0.0000000006032,16,50763778,"NOD2","rs2066847","",0.02267000,NULL,"Crohn's disease","Crohn's disease || Inflammatory bowel disease",NULL,10,"digestive"
5,40437948,"rs9292777",555.1,22412388,"Crohn's disease","PTGER4","INTS6P1 - PTGER4",2E-11,1.37,"[1.28-1.48]","Intergenic",0.597,"737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls","rs9292777",555.1,"Regional enteritis",445,21248,0.80,0.002136,5,40437948,"","rs9292777","",0.39780000,1.2400,"Multiple sclerosis || Crohn's disease",NULL,-0.621486,10,"digestive"
16,50756881,"rs2076756",555.1,22412388,"Crohn's disease","NOD2, CYLD, SNX20, NKD1","NOD2",1E-37,1.66,"[1.48-1.88]","intron",0.246,"737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls","rs2076756",555.1,"Regional enteritis",445,21248,1.31,0.000257,16,50756881,"NOD2","rs2076756","Silent",0.26050000,5.9030,"Crohn's disease || Inflammatory bowel disease","Crohn's disease || Inflammatory bowel disease",0.350723,10,"digestive"
2,61186829,"rs13003464",555.1,22412388,"Crohn's disease","PUS10, PEX13, REL, KIAA1841, C2orf74, PAPOLG, USP34","PUS10",5E-9,1.05,"[1.00-1.40]","intron",0.487,"737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls","rs13003464",555.1,"Regional enteritis",445,21248,1.18,0.01781,2,61186829,"PUS10","rs13003464","Silent",0.38870000,3.4700,"Celiac disease || Ulcerative colitis || Crohn's disease","Inflammatory bowel disease || Ulcerative colitis || Crohn's disease || Crohn's disease and celiac disease (combined) || Celiac disease",-0.108120,10,"digestive"
10,64445564,"rs10761659",555.1,21102463,"Crohn's disease","ZNF365","ZNF365 - ALDH7A1P4",4E-22,1.23,"[1.18-1.29]","Intergenic",0.538,"6,333 European ancestry cases, 15,056 European ancestry controls","rs10761659",555.1,"Regional enteritis",445,21248,0.81,0.002963,10,64445564,"","rs10761659","",0.46530000,10.6000,"Crohn's disease || Inflammatory bowel disease",NULL,1.396401,10,"digestive"
10,59913151,"rs1819658",555.1,21102463,"Crohn's disease","UBE2D1","MRPS35P3 - IPMK",9E-17,1.19,"[1.13-1.25]","Intergenic",0.774,"6,333 European ancestry cases, 15,056 European ancestry controls","rs1819658",555.1,"Regional enteritis",445,21248,0.83,0.03934,10,59913151,"","rs1819658","",0.20850000,2.5550,"Crohn's disease",NULL,-0.303153,10,"digestive"
5,131784393,"rs12521868",555.1,21102463,"Crohn's disease","SLC22A4,SLC22A5,IRF1,IL3","C5orf56",1E-20,1.23,"[1.18-1.28]","intron",0.422,"6,333 European ancestry cases, 15,056 European ancestry controls","rs12521868",555.1,"Regional enteritis",445,21248,1.17,0.02133,5,131784393,"C5orf56","rs12521868","Silent",0.41730000,6.8600,"Crohn's disease","Platelet counts || Crohn's disease || Inflammatory bowel disease || Fibrinogen || Asthma",0.528021,10,"digestive"
5,40410584,"rs11742570",555.1,21102463,"Crohn's disease","PTGER4","INTS6P1 - PTGER4",7E-36,1.33,"[1.27-1.39]","Intergenic",0.606,"6,333 European ancestry cases, 15,056 European ancestry controls","rs11742570",555.1,"Regional enteritis",445,21248,0.81,0.003138,5,40410584,"","rs11742570","",0.39810000,12.8900,"Inflammatory bowel disease || Crohn's disease",NULL,2.073700,10,"digestive"
16,50756881,"rs2076756",555.1,21102463,"Crohn's disease","NOD2","NOD2",4E-69,1.53,"[1.46-1.60]","intron",0.26,"6,333 European ancestry cases, 15,056 European ancestry controls","rs2076756",555.1,"Regional enteritis",445,21248,1.31,0.000257,16,50756881,"NOD2","rs2076756","Silent",0.26050000,5.9030,"Crohn's disease || Inflammatory bowel disease","Crohn's disease || Inflammatory bowel disease",0.350723,10,"digestive"
10,101284237,"rs4409764",555.1,21102463,"Crohn's disease","NKX2-3","GOT1 - NKX2-3",2E-20,1.22,"[1.17-1.27]","Intergenic",0.492,"6,333 European ancestry cases, 15,056 European ancestry controls","rs4409764",555.1,"Regional enteritis",445,21248,1.22,0.003415,10,101284237,"","rs4409764","",0.49060000,4.3800,"Crohn's disease || Inflammatory bowel disease",NULL,0.070026,10,"digestive"
