SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SKAT_p-val	Logit_no-covariates	Logit	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs877819	pheno_695.42	10	Systemic lupus erythematosus	1,656 Han Chinese cases, 3,394 Han Chinese controls	8E-9	1.46	0.18	WDFY4	2.67495133519	0.0252793328596	0.00228786757284	0.0232874216846	-1	-1	-1	exm823479	0.00228786757284	2.67495133519	0.0448391264783	[[24820, 105, 1], [432, 5, 0]]
rs1913517	pheno_695.42	10	Systemic lupus erythematosus	1,047 Chinese Han cases, 1,205 Chinese Han controls	7E-12	1.24	0.29	WDFY4,WDFY4;LRRC18,LRRC18	1.75495165175	0.00233539129052	0.0208964264082	0.101980584096	0.000905906658109	-1	-1	exm823531,exm823573,exm823479	0.0205262803688,0.000353273669336,0.00228786757284	1.66441183902,7.63555555556,2.67495133519	0.0109011762419,0.0339591613238,0.0448391264783	[[23907, 1007, 8], [406, 31, 0]]
SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SKAT_p-val	Logit_no-covariates	Logit	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs2231884	pheno_555	11	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	3E-10	1.08	0.157	RELA,SNX32,FOSL1,FIBP;CCDC85B,CTSW	11.4388799138	0.00614225611493	0.000151403001144	0.0102139699733	-1	-1	-1	exm928233	0.000151403001144	11.4388799138	0.0201213352631	[[21242, 6], [619, 2]]
rs3817198	pheno_174.11	11	Breast cancer	390 cases,364 controls	3E-9	1.07	0.3	LSP1	5.07512195122	0.0226595748255	0.000286060442889	0.00452271536785	-1	-1	-1	exm877682	0.000286060442889	5.07512195122	0.0441261553721	[[12138, 5], [1435, 3]]
rs11229030	pheno_555.1	11	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	8E-9	1.15	0.305	PRG3,SLC43A3,PRG2,RTN4RL2	1.37955906369	0.0138314421722	0.0451638958067	0.177637239663	-1	-1	-1	exm910982	0.0451638958067	1.37955906369	0.0283678842019	[[19341, 1866, 35], [392, 51, 2]]
rs907611	pheno_555	11	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	3E-10	1.07	0.315	LSP1,TNNI2	34.3117932149	0.00116718199599	0.000168276511964	0.0171306004493	-1	-1	-1	exm877513	0.000168276511964	34.3117932149	0.00465308220339	[[21239, 2], [619, 2]]
rs907611	pheno_555.2	11	Ulcerative colitis	6,687 European ancestry cases, 19,718 European ancestry controls	1E-10	1.08	0.32	LSP1	30.8677325581	0.000767184952517	0.000252414767947	0.0225447672185	0.359167420587	-1	-1	exm877513,exm877578	0.000168276511964,8.41127784133e-05	30.7811594203,30.7913043478	0.047320063509,0.047304970451	[[21237, 4], [344, 2]]
rs4246215	pheno_555	11	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	2E-15	1.08	0.338	FADS1,C11orf9,FADS2,FEN1	5.49407758365	0.000243404708085	0.00114393378642	0.017216910402	9.69158338735e-05	-1	-1	exm916753,exm916700	0.000471031559114,0.000672902227306	5.72545846818,5.291609525	0.0207105170458,0.00981995968212	[[21204, 44], [614, 7]]
rs4963128	pheno_695.42	11	Systemic lupus erythematosus	720 female cases,2,337 female controls	3E-10	1.28	0.34	PHRF1,KIAA1542	3.90757226644	0.0215615482977	0.000908784920902	0.00815979492895	-1	-1	-1	exm871741	0.000908784920902	3.90757226644	0.0472068518481	[[24873, 44], [434, 3]]
