SNP	pheno	maf	PheWAS_MAF_W	prev	table	minN	jd_string	PheWAS_OR	PheWAS_P	logit_OR	logit_p-val	fisher_OR	fisher_pval	exact_OR	exact_p-val	pval_norm	bayes factor
exm1001583	pheno_528.12	5.955e-03	0.005954	1.052e-03	[[27206, 317, 1], [25, 3, 1]]	5.0	Oral aphthae	16.39	5.619e-09	14.57	1.276e-08	16.19	2.418e-05	16.19	9.452e-04	7.494e-03	35.13
exm1002571	pheno_747.2	2.704e-03	0.002703	3.517e-03	[[27790, 141], [92, 6]]	6	Congenital anomalies of peripheral vascular system	12.5	5.71e-09	12.26	7.511e-09	12.85	1.329e-05	12.85	6.623e-04	6.945e-03	58.13
exm1004207	pheno_603.2	1.565e-03	0.001565	2.692e-03	[[9602, 31], [23, 3]]	3	Spermatocele	41.77	7.917e-09	0.00	0.000e+00	40.40	9.804e-05	40.40	1.797e-03	2.367e-03	9.63
exm1008143	pheno_686.9	1.598e-03	0.001598	1.483e-02	[[24515, 69], [362, 8]]	8	Other/Unspecified specified local infections of skin and subcutaneous tissue	8.06	3.42e-08	7.88	4.467e-08	7.85	1.870e-05	7.85	5.829e-04	5.473e-03	91.87
exm1009556	pheno_446.8	1.296e-03	0.001295	1.619e-03	[[23981, 61, 1], [36, 3, 0]]	3.0	Thrombotic microangiopathy	24.05	1.054e-07	22.65	1.236e-07	30.49	1.737e-04	30.49	1.876e-03	3.935e-03	10.08
exm1018460	pheno_306.1	1.077e-03	0.001076	2.638e-03	[[10188, 15, 3], [24, 3, 0]]	3.0	Mental disorders durring/after pregnancy	24.71	1.344e-08	0.00	0.000e+00	57.12	3.379e-05	57.12	1.173e-03	9.821e-04	10.40
exm1018502	pheno_555.21	1.263e-03	0.001263	7.288e-03	[[21177, 43, 2], [151, 4, 1]]	6.0	Ulcerative colitis (chronic)	10.25	3.314e-08	10.16	3.062e-08	17.69	2.476e-06	17.69	4.286e-04	5.967e-03	73.93
exm1019383	pheno_281.11	6.662e-03	0.00666	1.054e-02	[[18815, 238, 1], [191, 12, 0]]	12.0	Pernicious anemia	5.82	1.951e-08	5.55	2.903e-08	4.81	1.741e-05	4.81	3.071e-04	2.815e-03	203.28
exm1019383	pheno_281.1	6.662e-03	0.00666	1.935e-02	[[18815, 238, 1], [359, 17, 0]]	17.0	Megaloblastic anemia	4.18	6.977e-08	4.10	6.607e-08	3.65	1.286e-05	3.65	1.805e-04	1.434e-03	381.40
exm1020021	pheno_722.9	1.397e-03	0.001396	1.930e-03	[[24235, 65], [44, 3]]	3	Other and unspecified disc disorder	26.4	9.782e-08	27.48	6.362e-08	25.42	3.094e-04	25.42	2.457e-03	5.314e-03	9.39
exm1021377	pheno_362.6	1.649e-03	0.001648	2.223e-03	[[26393, 86], [55, 4]]	4	Peripheral retinal degenerations	22.53	5.627e-09	22.72	3.954e-09	22.32	4.881e-05	22.32	1.324e-03	6.517e-03	19.71
exm10227	pheno_686.2	7.419e-03	0.007417	1.584e-03	[[24227, 357, 1], [33, 6, 0]]	6.0	Impetigo	11.17	3.718e-08	11.00	4.114e-08	11.33	2.607e-05	11.33	8.229e-04	7.409e-03	51.04
exm1023206	pheno_420.21	6.982e-03	0.00698	2.535e-03	[[26784, 358, 1], [62, 7, 0]]	7.0	Acute pericarditis	8.19	9.908e-08	8.24	9.211e-08	8.00	4.553e-05	8.00	8.285e-04	6.875e-03	61.09
exm1023746	pheno_726.2	1.447e-03	0.001446	1.272e-03	[[23487, 70], [27, 3]]	3	Synoviopathy	32.95	2.169e-08	34.25	1.372e-08	37.28	1.087e-04	37.28	1.711e-03	2.751e-03	10.02
exm1024736	pheno_245.1	1.430e-03	0.001429	1.148e-03	[[23432, 67, 2], [24, 3, 0]]	3.0	Thyroiditis, acute and subacute	23.99	2.155e-08	22.07	5.062e-08	38.88	8.741e-05	38.88	1.462e-03	2.489e-03	10.54
exm1025139	pheno_913	1.019e-03	0.001018	1.533e-03	[[25452, 50], [38, 3]]	3	Toxic effect of venom	43.33	1.297e-09	40.58	2.029e-09	40.19	8.504e-05	40.19	1.524e-03	2.342e-03	10.29
exm1025643	pheno_010	1.194e-03	0.001194	1.799e-03	[[24903, 59], [42, 3]]	3	Tuberculosis	31.83	2.265e-08	31.11	2.262e-08	30.15	1.912e-04	30.15	2.044e-03	4.052e-03	9.78
exm1029246	pheno_642.1	4.125e-03	0.004124	6.860e-03	[[14850, 122], [95, 7]]	7	Preeclampsia and eclampsia	10.96	7.7e-09	0.00	0.000e+00	8.97	2.686e-05	8.97	7.590e-04	6.612e-03	65.77
exm1029246	pheno_575	4.125e-03	0.004124	2.400e-02	[[26683, 212], [644, 19]]	19	Other biliary tract disease	3.67	8.761e-08	3.72	6.208e-08	3.71	3.676e-06	3.71	8.620e-05	8.697e-04	773.38
exm1029246	pheno_697	4.125e-03	0.004124	1.112e-02	[[24604, 207], [271, 12]]	12	Sarcoidosis	5.03	1.105e-07	5.24	4.819e-08	5.26	7.915e-06	5.26	2.249e-04	2.515e-03	266.07
exm1029569	pheno_090	5.570e-03	0.005568	1.181e-03	[[29262, 323, 1], [30, 5, 0]]	5.0	Sexually transmitted infections (not HIV or hepatitis)	14.29	2.379e-08	14.19	2.634e-08	13.93	4.681e-05	13.93	1.144e-03	8.216e-03	31.95
exm1030337	pheno_755.1	1.046e-03	0.001046	2.107e-03	[[29209, 58], [59, 3]]	3	Congenital deformities of feet	31.06	9.669e-08	33.26	7.592e-08	25.61	2.967e-04	25.61	2.377e-03	5.237e-03	9.50
exm1030816	pheno_270.1	1.346e-03	0.001346	2.057e-03	[[27582, 62, 0], [50, 4, 3]]	10.0	Disturbances of amino-acid transport	39.07	8.511e-17	34.70	1.564e-15	85.65	7.556e-11	85.65	2.417e-06	1.465e-03	3796.10
exm1030816	pheno_270	1.346e-03	0.001346	2.072e-02	[[27582, 62, 0], [574, 8, 3]]	14.0	Disorders of protein plasma/amino-acid transport and metabolism	8.72	2.153e-13	8.50	5.461e-13	10.79	5.296e-10	10.79	8.199e-06	9.526e-04	4951.14
exm1030816	pheno_270.2	1.346e-03	0.001346	1.697e-03	[[27582, 62, 0], [44, 1, 2]]	5.0	Disorders of amino-acid metabolism	25.66	2.368e-10	23.82	1.209e-09	50.04	1.123e-07	50.04	2.196e-04	2.473e-03	59.65
exm1030816	pheno_306	1.346e-03	0.001346	4.924e-03	[[20355, 55, 0], [98, 1, 2]]	5.0	Other mental disorder	11.48	1.071e-07	10.35	4.687e-07	18.81	1.207e-05	18.81	7.637e-04	6.773e-03	38.79
exm1033106	pheno_586.3	1.043e-03	0.001043	1.525e-03	[[22211, 46, 0], [32, 1, 1]]	3.0	Vascular disorders of kidney/hypertrophy	31.08	8.35e-08	32.77	1.503e-08	44.62	5.946e-05	44.62	1.280e-03	1.838e-03	10.73
exm1034738	pheno_642.1	1.942e-03	0.001941	6.860e-03	[[15093, 57], [99, 5]]	5	Preeclampsia and eclampsia	15.78	1.796e-08	0.00	0.000e+00	13.37	6.357e-05	13.37	1.381e-03	8.594e-03	28.87
exm1036574	pheno_697	2.210e-03	0.002209	1.112e-02	[[25066, 106, 2], [274, 7, 1]]	9.0	Sarcoidosis	5.97	8.86e-08	6.04	6.792e-08	7.41	7.750e-06	7.41	3.281e-04	4.177e-03	156.77
exm1037875	pheno_731	2.067e-03	0.002067	1.381e-03	[[22022, 84], [29, 3]]	3	Osteitis deformans and osteopathies associated with other disorders classified elsewhere	36.11	1.066e-08	33.14	1.925e-08	27.12	2.678e-04	27.12	2.396e-03	4.846e-03	9.38
exm1038928	pheno_592.2	1.817e-02	0.01816	1.504e-03	[[20514, 718, 8], [25, 6, 1]]	8.0	Urethritis and urethral syndrome	7.95	4.625e-08	7.92	3.896e-08	8.12	1.543e-05	8.12	5.619e-04	5.400e-03	94.90
exm1040858	pheno_433.11	1.161e-03	0.00116	5.530e-03	[[24590, 48, 0], [133, 3, 1]]	5.0	Occlusion of cerebral arteries, with cerebral infarction	16.9	3.826e-08	16.80	4.470e-08	19.06	1.151e-05	19.06	7.629e-04	6.723e-03	38.76
exm1042558	pheno_526.5	7.573e-03	0.007571	1.669e-03	[[27099, 397, 3], [40, 6, 0]]	6.0	Inflammatory conditions of jaw	9.66	8.595e-08	9.07	1.405e-07	9.45	6.721e-05	9.45	1.130e-03	8.179e-03	41.72
exm1044077	pheno_221	1.920e-03	0.001919	2.372e-03	[[12136, 47], [26, 3]]	3	Benign neoplasm of other female genital organs	32.22	3.755e-08	0.00	0.000e+00	29.79	2.189e-04	29.79	2.321e-03	4.202e-03	9.33
exm1044519	pheno_323.8	9.766e-03	0.009763	1.543e-03	[[28523, 558, 3], [38, 7, 0]]	7.0	Encephalitis, non-infectious	8.73	5.572e-08	8.60	6.813e-08	8.61	3.100e-05	8.61	7.505e-04	6.648e-03	65.91
exm1045523	pheno_420	1.228e-03	0.001228	2.106e-02	[[27087, 58], [575, 9]]	9	Carditis	7.15	5.143e-08	7.20	4.546e-08	7.31	1.106e-05	7.31	4.435e-04	4.437e-03	127.46
exm1045591	pheno_626.14	1.665e-03	0.001665	2.702e-03	[[11039, 31], [27, 3]]	3	Irregular menstrual bleeding	41.87	5.462e-09	0.00	0.000e+00	39.57	1.008e-04	39.57	1.774e-03	2.464e-03	9.73
exm1047380	pheno_295.1	2.618e-03	0.002617	3.904e-03	[[20233, 104], [75, 5]]	5	Schizophrenia	12.53	9.767e-08	12.06	1.510e-07	12.97	6.914e-05	12.97	1.366e-03	8.685e-03	29.06
