SNP	pheno	maf	prev	table	minN	logit_OR	logit_p-val	exact_OR	exact_p-val	bayes factor
exm1001583	pheno_528.12	5.955e-03	1.052e-03	[[27206, 317, 1], [25, 3, 1]]	1.000e+00	1.457e+01	1.276e-08	1.619e+01	5.181e-03	35.13
exm1002571	pheno_747.2	2.704e-03	3.517e-03	[[27790, 141], [92, 6]]	6.000e+00	1.226e+01	7.511e-09	1.285e+01	2.930e-03	58.13
exm1004207	pheno_603.2	1.565e-03	2.692e-03	[[9602, 31], [23, 3]]	3.000e+00	0.000e+00	0.000e+00	4.040e+01	2.348e-02	9.63
exm1008143	pheno_686.9	1.598e-03	1.483e-02	[[24515, 69], [362, 8]]	8.000e+00	7.884e+00	4.467e-08	7.852e+00	1.731e-03	91.87
exm1009556	pheno_446.8	1.296e-03	1.619e-03	[[23981, 61, 1], [36, 3, 0]]	0.000e+00	2.265e+01	1.236e-07	3.049e+01	2.162e-02	10.08
exm1018460	pheno_306.1	1.077e-03	2.638e-03	[[10188, 15, 3], [24, 3, 0]]	0.000e+00	0.000e+00	0.000e+00	5.712e+01	2.150e-02	10.40
exm1018502	pheno_555.21	1.263e-03	7.288e-03	[[21177, 43, 2], [151, 4, 1]]	1.000e+00	1.016e+01	3.062e-08	1.769e+01	2.298e-03	73.93
exm1019383	pheno_281.11	6.662e-03	1.054e-02	[[18815, 238, 1], [191, 12, 0]]	0.000e+00	5.555e+00	2.903e-08	4.806e+00	6.939e-04	203.28
exm1019383	pheno_281.1	6.662e-03	1.935e-02	[[18815, 238, 1], [359, 17, 0]]	0.000e+00	4.096e+00	6.607e-08	3.649e+00	3.429e-04	381.40
exm1020021	pheno_722.9	1.397e-03	1.930e-03	[[24235, 65], [44, 3]]	3.000e+00	2.748e+01	6.362e-08	2.542e+01	2.353e-02	9.39
exm1021377	pheno_362.6	1.649e-03	2.223e-03	[[26393, 86], [55, 4]]	4.000e+00	2.272e+01	3.954e-09	2.232e+01	1.003e-02	19.71
exm10227	pheno_686.2	7.419e-03	1.584e-03	[[24227, 357, 1], [33, 6, 0]]	0.000e+00	1.100e+01	4.114e-08	1.133e+01	3.360e-03	51.04
exm1023206	pheno_420.21	6.982e-03	2.535e-03	[[26784, 358, 1], [62, 7, 0]]	0.000e+00	8.239e+00	9.211e-08	8.004e+00	2.685e-03	61.09
exm1023746	pheno_726.2	1.447e-03	1.272e-03	[[23487, 70], [27, 3]]	3.000e+00	3.425e+01	1.372e-08	3.728e+01	2.215e-02	10.02
exm1024736	pheno_245.1	1.430e-03	1.148e-03	[[23432, 67, 2], [24, 3, 0]]	0.000e+00	2.207e+01	5.062e-08	3.888e+01	2.067e-02	10.54
exm1025139	pheno_913	1.019e-03	1.533e-03	[[25452, 50], [38, 3]]	3.000e+00	4.058e+01	2.029e-09	4.019e+01	2.142e-02	10.29
exm1025643	pheno_010	1.194e-03	1.799e-03	[[24903, 59], [42, 3]]	3.000e+00	3.111e+01	2.262e-08	3.015e+01	2.256e-02	9.78
exm1029246	pheno_642.1	4.125e-03	6.860e-03	[[14850, 122], [95, 7]]	7.000e+00	0.000e+00	0.000e+00	8.969e+00	2.516e-03	65.77
exm1029246	pheno_575	4.125e-03	2.400e-02	[[26683, 212], [644, 19]]	1.900e+01	3.723e+00	6.208e-08	3.713e+00	1.616e-04	773.38
exm1029246	pheno_697	4.125e-03	1.112e-02	[[24604, 207], [271, 12]]	1.200e+01	5.237e+00	4.819e-08	5.263e+00	5.245e-04	266.07
exm1029569	pheno_090	5.570e-03	1.181e-03	[[29262, 323, 1], [30, 5, 0]]	0.000e+00	1.419e+01	2.634e-08	1.393e+01	5.705e-03	31.95
exm1030337	pheno_755.1	1.046e-03	2.107e-03	[[29209, 58], [59, 3]]	3.000e+00	3.326e+01	7.592e-08	2.561e+01	2.317e-02	9.50
exm1030816	pheno_270.1	1.346e-03	2.057e-03	[[27582, 62, 0], [50, 4, 3]]	0.000e+00	3.470e+01	1.564e-15	8.565e+01	3.551e-05	3796.10
exm1030816	pheno_270	1.346e-03	2.072e-02	[[27582, 62, 0], [574, 8, 3]]	0.000e+00	8.497e+00	5.461e-13	1.079e+01	2.515e-05	4951.14
exm1030816	pheno_270.2	1.346e-03	1.697e-03	[[27582, 62, 0], [44, 1, 2]]	0.000e+00	2.382e+01	1.209e-09	5.004e+01	2.975e-03	59.65
exm1030816	pheno_306	1.346e-03	4.924e-03	[[20355, 55, 0], [98, 1, 2]]	0.000e+00	1.035e+01	4.687e-07	1.881e+01	4.668e-03	38.79
exm1033106	pheno_586.3	1.043e-03	1.525e-03	[[22211, 46, 0], [32, 1, 1]]	0.000e+00	3.277e+01	1.503e-08	4.462e+01	2.033e-02	10.73
exm1034738	pheno_642.1	1.942e-03	6.860e-03	[[15093, 57], [99, 5]]	5.000e+00	0.000e+00	0.000e+00	1.337e+01	6.427e-03	28.87
exm1036574	pheno_697	2.210e-03	1.112e-02	[[25066, 106, 2], [274, 7, 1]]	1.000e+00	6.043e+00	6.792e-08	7.406e+00	9.561e-04	156.77
exm1037875	pheno_731	2.067e-03	1.381e-03	[[22022, 84], [29, 3]]	3.000e+00	3.314e+01	1.925e-08	2.712e+01	2.370e-02	9.38
exm1038928	pheno_592.2	1.817e-02	1.504e-03	[[20514, 718, 8], [25, 6, 1]]	1.000e+00	7.920e+00	3.896e-08	8.125e+00	1.680e-03	94.90
