SNP	Reported_Gene	Chr	Lab_name	Study	Trait	p-value_reported (Catalog)	beta_reported (Catalog)	MAF_reported (catalog)	beta_common (Exome)	p-value_common (Exome)	MAF_common (exome)	beta_combined	p-value_combined	MAF_combined	SNPs_name	SNPs_MAF	SNPS_beta	SNPS_p-val
rs964184	APOA1,APOC3,APOA4,APOA5	11	Chol	Biological, clinical and population relevance of 95 loci for blood lipids.	Cholesterol, total	6E-57	4.68	0.13	2.87837701983	8.76832029269e-06	0.1351	-9.52292391154	0.619660790026	0.00015142337977	exm957734	0.00015142337977	19.3806850947	0.00491936272062
rs174546	FADS1, FADS2, FADS3	11	Chol	Discovery and refinement of loci associated with lipid levels.	Cholesterol, total	3E-37	0.05	0.36	-0.665557791028	0.160133510111	0.3369	nan	1.0	0.000336451113653	exm916815	0.000336451113653	-31.7195412523	0.0193934144067
rs174546	FADS1,FADS2,FADS3	11	Chol	Biological, clinical and population relevance of 95 loci for blood lipids.	Cholesterol, total	2E-22	1.78	0.34	-0.665557791028	0.160133510111	0.3369	nan	1.0	0.000336451113653	exm916815	0.000336451113653	-31.7195412523	0.0193934144067
rs11603023	PHLDB1	11	Chol	Discovery and refinement of loci associated with lipid levels.	Cholesterol, total	1E-8	0.02	0.42	0.1900015014	0.67420094631	0.4414	3.534762273	0.240653731385	0.000287434059245	exm960608,exm960717	8.45365705204e-05,0.000201877460382	2.94249421275,19.4650327156	0.0350192361098,0.0494585102945
rs10128711	SPTY2D1	11	Chol	Discovery and refinement of loci associated with lipid levels.	Cholesterol, total	1E-11	0.03	0.3	-0.373855181011	0.280925889302	0.261	0.831076509574	0.433156062251	0.000235523703778	exm894930,exm894964	3.36462433969e-05,0.000201877460382	-41.8331849088,-32.8017243935	0.000563971786553,0.00305974836294
rs10128711	SPTY2D1	11	Chol	Biological, clinical and population relevance of 95 loci for blood lipids.	Cholesterol, total	3E-8	1.06	0.29	-0.373855181011	0.280925889302	0.261	0.831076509574	0.433156062251	0.000235523703778	exm894930,exm894964	3.36462433969e-05,0.000201877460382	-41.8331849088,-32.8017243935	0.000563971786553,0.00305974836294
rs964184	ZNF259,KIAA0999,BUD13,APOC3,APOA5,APOA4,APOA1	11	Trigs	Genomic study in Mexicans identifies a new locus for triglycerides and refines European lipid loci.	Hypertriglyceridemia	5E-35	1.77	0.30	24.8668964417	1.58533091511e-44	0.1351	-19.6358625412	0.709219265124	0.0426494834954	exm957799,exm957853,exm957687,exm957759	0.0162001211224,0.00082430522845,0.02661328309,0.00011776977691	13.5706136294,104.508451309,12.2784036774,76.1014048032	0.00581764610349,9.1551351608e-08,0.00129807126906,0.00684932567432
rs964184	APOA5	11	Trigs	Excess of rare variants in genes identified by genome-wide association study of hypertriglyceridemia.	Hypertriglyceridemia	5E-24	3.28	0.14	24.8668964417	1.58533091511e-44	0.1351	-19.6358625412	0.709219265124	0.02661328309	exm957687	0.02661328309	12.2784036774	0.00129807126906
rs964184	APOA1,APOC3,APOA4,APOA5	11	LDL-C	Biological, clinical and population relevance of 95 loci for blood lipids.	LDL cholesterol	1E-26	2.85	0.13	0.189590960821	0.727534094153	0.1351	2.3526078951	0.878278875729	0.00015142337977	exm957734	0.00015142337977	12.7728900083	0.0206186939103
rs174546	FADS1, FADS2, FADS3	11	LDL-C	Discovery and refinement of loci associated with lipid levels.	LDL cholesterol	2E-39	0.05	0.36	-0.722949944742	0.068609231271	0.3369	nan	1.0	0.000336451113653	exm916815	0.000336451113653	-21.5022281661	0.0477694842379
rs174546	FADS1,FADS2,FADS3	11	LDL-C	Biological, clinical and population relevance of 95 loci for blood lipids.	LDL cholesterol	1E-21	1.71	0.35	-0.722949944742	0.068609231271	0.3369	nan	1.0	0.000336451113653	exm916815	0.000336451113653	-21.5022281661	0.0477694842379
rs174546	FADS1, FADS2	11	LDL-C	Genome-wide association analysis of metabolic traits in a birth cohort from a founder population.	LDL cholesterol	1E-7	0.10	0.44	-0.722949944742	0.068609231271	0.3369	-21.5022281661	0.0477694842379	0.000336451113653	exm916815	0.000336451113653	-21.5022281661	0.0477694842379
rs174570	FADS2, FADS3	11	LDL-C	Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts.	LDL cholesterol	4E-13	0.11	0.83	-0.513219120494	0.358527340401	0.1329	nan	1.0	0.000336451113653	exm916815	0.000336451113653	-21.5022281661	0.0477694842379
rs964184	APOA1	11	Trigs	Discovery and refinement of loci associated with lipid levels.	Triglycerides	7E-224	0.23	0.84	24.8668964417	1.58533091511e-44	0.1351	32.6811874762	0.351811534232	0.00082430522845	exm957853	0.00082430522845	104.508451309	9.1551351608e-08
rs964184	APOA1,APOC3,APOA4,APOA5	11	Trigs	Biological, clinical and population relevance of 95 loci for blood lipids.	Triglycerides	7E-240	16.95	0.13	24.8668964417	1.58533091511e-44	0.1351	-19.6358625412	0.709219265124	0.0426494834954	exm957799,exm957853,exm957687,exm957759	0.0162001211224,0.00082430522845,0.02661328309,0.00011776977691	13.5706136294,104.508451309,12.2784036774,76.1014048032	0.00581764610349,9.1551351608e-08,0.00129807126906,0.00684932567432
rs964184	APOA1, APOC3, APOA4, APOA5	11	Trigs	Common variants at 30 loci contribute to polygenic dyslipidemia.	Triglycerides	4E-62	0.30	0.14	24.8668964417	1.58533091511e-44	0.1351	-19.6358625412	0.709219265124	0.0426494834954	exm957799,exm957853,exm957687,exm957759	0.0162001211224,0.00082430522845,0.02661328309,0.00011776977691	13.5706136294,104.508451309,12.2784036774,76.1014048032	0.00581764610349,9.1551351608e-08,0.00129807126906,0.00684932567432
rs4938303	BUD13,ZNF259,APOA5,APOA4,APOC3,APOA1	11	Trigs	Genetic variants influencing circulating lipid levels and risk of coronary artery disease.	Triglycerides	4E-21	0.07	0.75	10.0666076915	2.26802532884e-13	0.2618	-19.6358625412	0.709219265124	0.0426494834954	exm957799,exm957853,exm957687,exm957759	0.0162001211224,0.00082430522845,0.02661328309,0.00011776977691	13.5706136294,104.508451309,12.2784036774,76.1014048032	0.00581764610349,9.1551351608e-08,0.00129807126906,0.00684932567432
rs7350481	APOA1,APOC3,APOA4,APOA5	11	Trigs	Genome-wide association study of hematological and biochemical traits in a Japanese population.	Triglycerides	1E-49	0.24	0.43	23.7300973489	5.4622833501e-21	0.06179	-19.6358625412	0.709219265124	0.0171439146674	exm957799,exm957853,exm957759	0.0162001211224,0.00082430522845,0.00011776977691	13.5706136294,104.508451309,76.1014048032	0.00581764610349,9.1551351608e-08,0.00684932567432
